Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560458;0.0;3871304;regular;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_080;560458;other;560532;2010-06-28 22:00:00;1320;6;0;22;0.0;0.0;1;1
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560458;EMPTY;560458;2010-10-07 22:00:00;1320;10;3;22;0.0;0.0;1;2
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_010;560458;EMPTY;560530;2010-10-10 22:00:00;1320;10;6;22;0.0;0.0;1;4
560458;84.3;3467931;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560458;EMPTY;560530;2010-10-10 22:00:00;1320;10;6;22;0.0;0.0;1;4
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560458;EMPTY;560458;2010-10-11 22:00:00;1320;10;0;22;5760.0;5760.0;2;5
560458;1698.2235;3466211;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560458;EMPTY;560530;2010-10-11 22:00:00;1320;10;0;22;1440.0;1440.0;2;5
560458;84.3;3467726;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560458;EMPTY;560458;2010-10-11 22:00:00;1320;10;0;22;0.0;0.0;1;5
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560458;EMPTY;560458;2010-10-12 09:57:34;597;10;1;9;717.5666666666667;6477.566666666667;3;5
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560458;False;560458;2010-10-12 09:57:39;597;10;1;9;0.08333333333333333;6477.65;4;5
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_1;560458;EMPTY;560458;2010-10-12 09:57:58;597;10;1;9;0.31666666666666665;6477.966666666666;5;5
560458;84.3;3461877;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560458;False;560458;2010-10-12 10:00:23;600;10;1;10;2.4166666666666665;6480.383333333333;6;5
