Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
3442724;0.0;3090877;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_065_2;560922;EMPTY;3148844;2009-12-31 23:00:00;1380;12;3;23;0.0;0.0;1;1
2013365;23847.627;5726442;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_051_2;2013365;EMPTY;2013365;2010-05-12 22:00:00;1320;5;2;22;0.0;0.0;1;2
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560922;other;560922;2010-10-03 22:00:00;1320;10;6;22;0.0;0.0;1;4
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_010;560749;other;560749;2010-10-03 22:00:00;1320;10;6;22;0.0;0.0;1;4
560922;0.0;3004646;deviant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560922;EMPTY;560922;2010-10-05 22:00:00;1320;10;1;22;2880.0;2880.0;2;4
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_065_2;560922;EMPTY;560749;2010-10-10 22:00:00;1320;10;6;22;10080.0;10080.0;2;5
2013365;795.7919999999999;3018942;regular;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560741;other;560741;2010-10-10 22:00:00;1320;10;6;22;0.0;0.0;1;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_015;560922;EMPTY;560749;2010-10-11 08:22:02;502;10;0;8;622.0333333333333;10702.033333333333;3;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_020;560922;True;560749;2010-10-11 08:22:15;502;10;0;8;0.21666666666666667;10702.25;4;5
560922;0.0;3007101;deviant;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_040;560922;False;560749;2010-10-11 08:22:51;502;10;0;8;0.6;10702.85;5;5
