Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Integraal;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560604;258.801;4511735;regular;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;1254625;EMPTY;1254625;2009-11-22 23:00:00;1380;11;6;23;0.0;0.0;1;1
560600;0.0;3364103;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_010;560600;EMPTY;560600;2010-10-03 22:00:00;1320;10;6;22;0.0;0.0;1;2
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560604;EMPTY;560429;2010-10-05 22:00:00;1320;10;1;22;0.0;0.0;1;3
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560604;EMPTY;560429;2010-10-05 22:00:00;1320;10;1;22;0.0;0.0;2;3
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;560604;EMPTY;560429;2010-10-05 22:00:00;1320;10;1;22;0.0;0.0;3;3
560600;7902.3496;3406163;deviant;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560600;EMPTY;1254625;2010-10-06 22:00:00;1320;10;2;22;0.0;0.0;1;4
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560604;EMPTY;560602;2010-10-07 22:00:00;1320;10;3;22;2880.0;2880.0;4;4
560596;16.86;3398124;regular;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560602;EMPTY;560602;2010-10-09 22:00:00;1320;10;5;22;0.0;0.0;1;5
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560604;EMPTY;560602;2010-10-10 22:00:00;1320;10;6;22;0.0;7200.0;5;6
560604;0.0;3395763;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_020_2;560604;EMPTY;560429;2010-10-10 22:00:00;1320;10;6;22;4320.0;7200.0;6;6
560604;0.0;3407629;deviant;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_010;1254625;EMPTY;1254625;2010-10-10 22:00:00;1320;10;6;22;0.0;0.0;1;6
