,trial_index,arm_name,trial_status,generation_method,test_acc,test_loss,hid,layers,lr,batch_size,aggregation
24,24,24_0,COMPLETED,BoTorch,0.18693982074263765,0.7191448303369375,64,3,0.0001,128,sum
17,17,17_0,COMPLETED,BoTorch,0.6241997439180538,0.6504386067390442,64,5,0.06493265633164153,128,max
12,12,12_0,COMPLETED,BoTorch,0.6741357234314981,0.6766834763380197,512,2,0.1,128,mean
11,11,11_0,COMPLETED,BoTorch,0.7976952624839949,0.5772908765536088,128,4,0.1,128,max
14,14,14_0,COMPLETED,BoTorch,0.8098591549295775,0.5714069604873657,512,5,0.1,128,max
23,23,21_0,COMPLETED,BoTorch,0.8098591549295775,0.48664047855597276,64,5,0.1,128,max
27,27,27_0,COMPLETED,BoTorch,0.8130601792573624,0.5082212411440336,256,5,0.1,512,sum
26,26,26_0,COMPLETED,BoTorch,0.8130601792573624,0.48234147750414336,512,2,0.1,512,sum
25,25,25_0,COMPLETED,BoTorch,0.8130601792573624,0.4892418636725499,512,2,0.00025374828609417985,512,sum
22,22,22_0,COMPLETED,BoTorch,0.8130601792573624,0.4912016987800598,512,2,0.0001,128,sum
20,20,20_0,COMPLETED,BoTorch,0.8130601792573624,0.5174779112522419,512,2,0.0023073565605730762,128,sum
19,19,19_0,COMPLETED,BoTorch,0.8130601792573624,0.5022935019089625,512,5,0.00024483379573527977,128,sum
18,18,18_0,COMPLETED,BoTorch,0.8130601792573624,0.5001563475682185,512,5,0.0001,128,sum
16,16,16_0,COMPLETED,BoTorch,0.8130601792573624,0.5209267781330988,64,3,0.0013086566457047916,128,sum
15,15,15_0,COMPLETED,BoTorch,0.8130601792573624,0.47890783502505374,64,5,0.07833887669954581,128,max
0,0,0_0,COMPLETED,Sobol,0.8130601792573624,0.5157018876992739,64,4,0.001671979996274695,512,sum
13,13,13_0,COMPLETED,BoTorch,0.8130601792573624,0.5014305619093088,64,2,0.0013442718391200783,128,sum
10,10,10_0,COMPLETED,BoTorch,0.8130601792573624,0.5306961192534521,64,2,0.007006597723157008,128,sum
9,9,9_0,COMPLETED,Sobol,0.8130601792573624,0.4912045139532823,256,3,0.0005287489039482252,128,sum
8,8,8_0,COMPLETED,Sobol,0.8130601792573624,10.667536992293138,64,5,0.0036773840138216956,256,mean
7,7,7_0,COMPLETED,Sobol,0.8130601792573624,0.5205724583222315,64,2,0.00030100727600525814,512,sum
6,6,6_0,COMPLETED,Sobol,0.8130601792573624,1.6686401688135588,256,4,0.004997965273915626,128,max
5,5,5_0,COMPLETED,Sobol,0.8130601792573624,0.5076948541861314,512,3,0.0007197019462725423,256,sum
3,3,3_0,COMPLETED,Sobol,0.8130601792573624,1.830346098312965,128,3,0.012090384867066513,256,mean
2,2,2_0,COMPLETED,Sobol,0.8130601792573624,12.261314392089844,512,5,0.00012948547263677028,512,max
1,1,1_0,COMPLETED,Sobol,0.8130601792573624,0.8837138414382935,256,2,0.027575328715146064,128,max
28,28,28_0,COMPLETED,BoTorch,0.8130601792573624,0.49041694631943333,512,3,0.00030565766452664625,512,sum
29,29,29_0,COMPLETED,BoTorch,0.8130601792573624,0.5101717251997727,64,2,0.1,512,sum
21,21,21_0,COMPLETED,BoTorch,0.8137003841229193,0.6159055164227119,64,5,0.1,128,max
4,4,4_0,COMPLETED,Sobol,0.8297055057618438,0.46548614593652576,128,5,0.06674817360628986,128,max
