,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,layers,lr,batch_size,aggregation,hid
10,10,10_0,COMPLETED,BoTorch,0.5152262739958369,0.5044444444444445,0.4930735930735931,0.492965367965368,0.48429118773946367,0.47796234772978957,0.4776301218161683,0.48172757475083056,0.4775268336314848,0.4773032200357782,0.47205882352941175,0.5015840329478853,0.4765859284890427,0.4797058823529412,0.46854636591478704,0.4576863354037267,0.4612092027822365,0.4964788732394366,0.4778571428571429,0.4437058579144163,0.4349593495934959,0.32175925925925936,0.5439423818914516,0.3288439955106622,0.5412473040977714,0.5206942590120159,0.4939049167005282,0.500512715340443,0.49968553459119497,0.5047619047619047,0.4847088982632277,3,0.0001,64,mean,128
28,28,28_0,COMPLETED,BoTorch,0.5141854907100455,0.5083597883597883,0.4988095238095238,0.49908008658008657,0.49261083743842365,0.4882613510520487,0.4882613510520487,0.4921926910299003,0.4865272808586762,0.486080053667263,0.4808823529411764,0.5019800411848566,0.47929642445213383,0.48258823529411765,0.47155388471177945,0.46020962732919257,0.46127608346709464,0.4949698189134809,0.47857142857142854,0.44370585791441636,0.4405487804878049,0.3109567901234568,0.5461716539483837,0.3187429854096521,0.5451114306254493,0.520694259012016,0.4945144250304754,0.507383100902379,0.5066037735849057,0.5117460317460318,0.4887113720290894,2,0.0001,64,sum,128
19,19,19_0,COMPLETED,BoTorch,0.5060905095983348,0.5113227513227514,0.49956709956709955,0.4995670995670995,0.49140667761357415,0.4864894795127353,0.48671096345514947,0.49102990033222593,0.4861359570661897,0.4852415026833631,0.4798642533936652,0.49940598764454297,0.47773933102652827,0.48058823529411765,0.4703007518796992,0.4594979296066252,0.4594703049759229,0.49647887323943657,0.4814285714285714,0.4530535936850852,0.45731707317073167,0.3564814814814815,0.543342193260739,0.38496071829405165,0.5423256649892164,0.5201220675185962,0.49227956115400234,0.5058449548810501,0.505293501048218,0.5115343915343915,0.4900378056840447,3,0.0001,16,mean,128
24,24,24_0,COMPLETED,BoTorch,0.5132218024824609,0.5191005291005291,0.5069264069264069,0.5068181818181818,0.5000547345374932,0.49590254706533776,0.49601328903654485,0.49966777408637875,0.4917262969588551,0.4904964221824687,0.4847285067873303,0.5018216378900681,0.48039215686274506,0.48270588235294115,0.47117794486215536,0.45910973084886125,0.4562600321027287,0.49279007377598927,0.47333333333333333,0.4428749480681346,0.4326727642276422,0.3294753086419753,0.5504587155963303,0.3344556677890011,0.5504133716750539,0.5279420179286668,0.5041649735879724,0.5178424938474159,0.5181341719077568,0.5231746031746032,0.4934722643661707,2,0.0001,64,mean,128
3,3,3_0,COMPLETED,Sobol,0.5038162053812351,0.5092592592592593,0.5023268398268399,0.5026515151515152,0.4984674329501915,0.491749723145072,0.49296788482834997,0.4935215946843854,0.49781976744186046,0.4990496422182468,0.4998868778280543,0.5390068113416759,0.5002883506343714,0.491,0.4838345864661654,0.4913949275362319,0.48508560727661854,0.4311703554661301,0.4002380952380953,0.38720398836726216,0.41158536585365846,0.4104938271604939,0.5432135814113007,0.38496071829405165,0.5174784327821711,0.524365821094793,0.5390593254774482,0.5077420016406891,0.514308176100629,0.5186772486772487,0.49390947898566956,2,0.00014041306205462534,64,max,128
1,1,1_0,COMPLETED,Sobol,0.4720144938709429,0.49740740740740735,0.4883658008658008,0.48988095238095236,0.4905856595511768,0.4931339977851606,0.4936323366555925,0.49341085271317825,0.49765205724508055,0.49910554561717346,0.504524886877828,0.5109298273404087,0.5041522491349482,0.5003529411764704,0.49749373433583954,0.5033643892339544,0.49946495452113426,0.4384641180415828,0.42523809523809525,0.45035313668466975,0.4563008130081301,0.5169753086419753,0.5234502272142674,0.4994388327721661,0.521746944644141,0.5053404539385847,0.4978667208451849,0.49882075471698106,0.4966981132075472,0.49571428571428566,0.49393884514273007,3,0.0007508428155332961,64,max,128
4,4,4_0,COMPLETED,Sobol,0.5119111864929459,0.5202645502645502,0.5098484848484848,0.5091991341991342,0.49896004378763,0.49357696566998893,0.49357696566998893,0.496234772978959,0.4922853309481216,0.49228533094812166,0.48727375565610864,0.5089893869792492,0.49042675893886967,0.49211764705882355,0.48139097744360904,0.46913819875776397,0.47465222043873734,0.5097250167672702,0.48666666666666664,0.4474449522226839,0.42505081300813014,0.3433641975308642,0.5630198062248135,0.3434343434343434,0.5571980589503953,0.5411501049017737,0.5115298659081674,0.5162018047579984,0.5170859538784067,0.5200529100529101,0.4982227361199526,2,0.05285635217614035,32,mean,128
6,6,6_0,COMPLETED,Sobol,0.473826227738802,0.5052910052910053,0.5041125541125541,0.5045454545454545,0.50727969348659,0.5108527131782946,0.5105204872646734,0.5109634551495017,0.5139758497316637,0.5150939177101969,0.520814479638009,0.5039600823697132,0.5251441753171856,0.5204705882352941,0.5219298245614035,0.5313146997929606,0.5326377742108078,0.48038229376257546,0.46190476190476193,0.4686331533028667,0.453760162601626,0.5108024691358024,0.5151333276172512,0.49831649831649827,0.5079079798705968,0.5102040816326531,0.5018285249898414,0.503589007383101,0.5028301886792453,0.504973544973545,0.5059789625044218,3,0.011085610714303211,64,max,128
22,22,22_0,COMPLETED,BoTorch,0.49140390100994524,0.5467724867724868,0.5288419913419913,0.5287878787878788,0.5217296113847838,0.5198228128460687,0.5210409745293467,0.5241417497231451,0.512634168157424,0.5118515205724508,0.506052036199095,0.5051481070806273,0.4990772779700115,0.4990588235294118,0.4922305764411028,0.4843426501035197,0.48428303905832,0.5023474178403756,0.4695238095238095,0.4191940174491068,0.3927845528455284,0.3564814814814815,0.5688073394495412,0.35802469135802467,0.556883537023724,0.5541674613770742,0.532608695652174,0.5436833470057424,0.5447589098532495,0.5463492063492064,0.5101066260726953,3,0.0001,64,sum,128
16,16,16_0,COMPLETED,BoTorch,0.5037005627939249,0.521058201058201,0.5107142857142857,0.5110930735930737,0.5017515051997811,0.5060354374307863,0.5060908084163898,0.512126245847176,0.5152616279069767,0.5154293381037567,0.510972850678733,0.5389276096942816,0.5151672433679355,0.5094705882352941,0.512781954887218,0.5215450310559007,0.5338416265382557,0.4744299128101945,0.4608333333333333,0.4025758205234732,0.381859756097561,0.37962962962962965,0.5682071508188288,0.4118967452300786,0.5777767792954709,0.5519740606522983,0.5271739130434783,0.5309167350287121,0.5232704402515723,0.5212698412698413,0.5105725643092411,3,0.1,16,sum,128
