,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@37,AUC@38,AUC@39,AUC@4,AUC@40,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
3,3,3_0,COMPLETED,Sobol,0.5064935064935064,0.4149404314693571,0.40975126568346903,0.4088707902267224,0.40348540348540346,0.39916061705989114,0.39893375680580756,0.3991606170598911,0.39893375680580767,0.3997277676950999,0.39999999999999997,0.41783549783549784,0.40017162471395884,0.3998855835240275,0.3943905817174515,0.39473684210526316,0.3918713450292397,0.39169590643274854,0.3914619883040936,0.3758603736479843,0.3787202380952381,0.37058080808080807,0.4210186976144422,0.37020202020202025,0.3815981917298231,0.3932868471424665,0.3929388221841052,0.389010989010989,0.38276643990929704,0.3784841841528343,0.37208147044212614,0.376881900301104,0.37636612021857924,0.41520244461420935,0.3761953551912568,0.41013986013986015,0.4057649667405765,0.4087213599408721,0.4125791563808092,0.41429644735429855,0.39966156664532415,0.542270450768921,2,0.00014041306205462534,64,max,128
14,14,14_0,COMPLETED,BoTorch,0.5430893609701557,0.43694322206718905,0.43143297380585516,0.43132291437376186,0.4275169275169275,0.42309437386569876,0.4228675136116153,0.42315108892921954,0.4233212341197823,0.4228675136116153,0.421395881006865,0.43909090909090903,0.4210526315789474,0.42128146453089244,0.4165512465373961,0.4164358264081256,0.40964912280701754,0.4094152046783625,0.40935672514619886,0.39687807276302856,0.40141369047619047,0.3955808080808081,0.4484203739522888,0.395959595959596,0.40779151708549394,0.4156412359857807,0.4151658090337335,0.4074725274725275,0.40151171579743006,0.38600062637018473,0.38599105812220563,0.39227166276346603,0.3963456284153006,0.44766997708174183,0.3989071038251366,0.4375124875124875,0.4339562876148242,0.4355400696864111,0.43715788343887513,0.4364065686379736,0.42241905635752536,0.556753573052454,3,0.0004751313491061281,64,mean,128
16,16,16_0,COMPLETED,BoTorch,0.5453685387460222,0.4585166899216487,0.4587277129650011,0.45911292097732775,0.45598845598845594,0.45247277676951003,0.45235934664246824,0.4518489110707804,0.45230263157894735,0.4526996370235935,0.45154462242562926,0.4506926406926407,0.45102974828375286,0.45102974828375286,0.44621421975992615,0.4458102493074792,0.4397076023391813,0.4399415204678363,0.4401169590643275,0.4247173058013766,0.4282614087301587,0.426010101010101,0.46117712075158884,0.4271464646464646,0.4391038425741257,0.450369155045119,0.4492567181246426,0.4427838827838828,0.44142101284958424,0.4314124647666771,0.4333498923662858,0.438440950150552,0.4426229508196721,0.4682486631016043,0.44193989071038253,0.4596903096903097,0.4560236511456024,0.45623482208848065,0.4573360523773747,0.4580873671782763,0.45078188364625316,0.40804793665484085,3,0.1,64,mean,128
22,22,22_0,COMPLETED,BoTorch,0.5064935064935064,0.4606633036385102,0.460708782742681,0.4605987233105877,0.4554334554334555,0.4534369328493648,0.45321007259528134,0.4537772232304901,0.45411751361161523,0.45485480943738654,0.45102974828375286,0.4495238095238095,0.4509153318077803,0.45085812356979404,0.44621421975992615,0.44627192982456143,0.4406432748538012,0.4411111111111112,0.44140350877192985,0.4251474926253687,0.4295014880952381,0.4283459595959596,0.4661508704061895,0.429419191919192,0.4404999335194788,0.4518731200437517,0.44939965694682676,0.4438095238095238,0.44051398337112624,0.42922016911994987,0.43484020533200857,0.43827367012378726,0.44245218579234974,0.47517188693659285,0.44193989071038253,0.46818181818181814,0.4613557174532784,0.4613557174532784,0.46050230760974564,0.46028764623805946,0.4511687938885742,0.0,2,0.1,64,mean,128
13,13,13_0,COMPLETED,BoTorch,0.5454115421002839,0.4702694000214661,0.45658155403918116,0.4560312568787145,0.4508824508824509,0.44816243194192373,0.4474251361161525,0.44821914700544463,0.4491265880217786,0.449410163339383,0.4462814645308924,0.5445021645021645,0.44668192219679637,0.44588100686498855,0.4407317636195753,0.44009695290858725,0.4342105263157895,0.4346198830409357,0.4346783625730994,0.41820304818092435,0.42193700396825395,0.4176136363636364,0.49240121580547114,0.4174873737373737,0.4311926605504587,0.44107191687175273,0.43967981703830755,0.4361904761904762,0.4293272864701436,0.4217037269025994,0.4227521112767015,0.42857142857142855,0.43101092896174864,0.48433919022154315,0.43066939890710376,0.4726273726273726,0.4697497624326892,0.471967057332911,0.4757969303423849,0.4782118707738542,0.4526882746540592,0.015257960434116613,2,0.008357157591826292,16,sum,128
6,6,6_0,COMPLETED,Sobol,0.5064935064935064,0.4619512718686273,0.46169931763152106,0.4619194364957077,0.45965145965145965,0.45825771324863884,0.4581442831215971,0.4580308529945554,0.4579174228675137,0.45780399274047195,0.45720823798626997,0.4562770562770563,0.4580091533180778,0.45881006864988555,0.4541782086795938,0.4540627885503232,0.4483040935672515,0.4482456140350878,0.44853801169590646,0.4335054080629302,0.4377480158730158,0.4335227272727272,0.4655982315556783,0.4334595959595959,0.44595133625847627,0.4570686354935739,0.45769010863350484,0.45260073260073264,0.4482237339380196,0.4357970560601315,0.43897996357012753,0.4446303111408497,0.4482581967213115,0.4640947288006111,0.4482581967213115,0.46033966033966034,0.45845211698870236,0.45908562981733714,0.46001931952345176,0.46141461843941184,0.45497557129743627,0.542270450768921,3,0.011085610714303211,64,max,128
17,17,17_0,COMPLETED,BoTorch,0.46766147759525245,0.4602876462380594,0.463185119964781,0.462854941668501,0.4612054612054612,0.45961887477313973,0.4596755898366607,0.4596755898366607,0.4593920145190563,0.4600725952813068,0.45926773455377573,0.45805194805194804,0.45892448512585804,0.45932494279176206,0.4571214219759926,0.4572368421052632,0.45081871345029245,0.4511111111111111,0.4511111111111111,0.43682399213372664,0.4409722222222222,0.4380050505050505,0.45712443584784007,0.4384469696969697,0.4497407259672916,0.4606234618539787,0.4608347627215552,0.4561172161172161,0.4513983371126228,0.4408080175383651,0.44461003477396926,0.44814319170291067,0.4523565573770492,0.46137318563789154,0.45218579234972683,0.46033966033966034,0.45998310632456973,0.46056382641748494,0.4609852956960396,0.4609852956960395,0.45559079994533136,0.5555887157854889,2,0.0001,64,sum,128
1,1,1_0,COMPLETED,Sobol,0.4935064935064935,0.46924975850595685,0.4647809817301342,0.4650011005943209,0.46253746253746253,0.46120689655172414,0.46143375680580767,0.4614337568058076,0.4605263157894736,0.46075317604355714,0.4610983981693364,0.4588744588744589,0.4610983981693364,0.4612128146453089,0.4562557710064635,0.4560249307479224,0.45017543859649123,0.4502923976608187,0.4502923976608187,0.4331366764995084,0.4372519841269841,0.4342171717171718,0.47066408768536433,0.4345959595959596,0.44887647919159684,0.4591194968553459,0.45997712978845057,0.4545054945054945,0.4501889644746787,0.43626683369871594,0.44063586686537504,0.44496487119437933,0.4487704918032787,0.4682964094728801,0.44945355191256836,0.4643356643356643,0.4611973392461197,0.46299229226058497,0.4649565310722335,0.4688204357625845,0.4571956571376994,0.5572730857432855,3,0.0007508428155332961,64,max,128
21,21,21_0,COMPLETED,BoTorch,0.5450675152661908,0.46066330363851027,0.4640655954215276,0.46445080343385425,0.4621489621489622,0.46046960072595283,0.46098003629764067,0.4608098911070781,0.46046960072595283,0.460412885662432,0.45943935926773455,0.45298701298701294,0.45943935926773455,0.4597826086956522,0.4574676823638042,0.45758310249307477,0.4513450292397661,0.4512280701754386,0.4512865497076024,0.43750000000000006,0.44122023809523814,0.43819444444444444,0.4583218200239477,0.43844696969696967,0.44954128440366964,0.4602132895816243,0.4611206403659234,0.45597069597069595,0.4504913076341648,0.4403382398997807,0.44311972180824644,0.4473067915690867,0.451844262295082,0.46251909854851037,0.45167349726775957,0.4605394605394605,0.4607749973603632,0.46072220462464364,0.4615219491252549,0.4609852956960395,0.45808921455878804,0.542270450768921,2,0.00011811757862449643,16,sum,128
8,8,8_0,COMPLETED,BoTorch,0.5452395286832372,0.47059139207899536,0.4676425269645609,0.4668721109399076,0.4642579642579643,0.4614337568058076,0.46115018148820325,0.46115018148820325,0.461263611615245,0.46143375680580767,0.45966819221967964,0.4597402597402597,0.4591533180778032,0.45966819221967964,0.4545821791320407,0.45452446906740535,0.4482456140350877,0.447953216374269,0.447953216374269,0.4331366764995084,0.43687996031746024,0.4325757575757576,0.47305885603757947,0.4316919191919192,0.44515357000398886,0.4559748427672956,0.45654659805603204,0.4504029304029304,0.44459561602418746,0.4342311305981835,0.4379864215929789,0.4421211107393777,0.44655054644808745,0.4736917494270435,0.44637978142076506,0.46878121878121876,0.4649984162179284,0.46647661281807623,0.46790812493291833,0.46865943973381996,0.45840854887064714,0.4746674287300355,2,0.1,16,sum,128
