,trial_index,arm_name,trial_status,generation_method,test_acc,test_loss,lr,batch_size,aggregation,hid,layers
7,7,7_0,COMPLETED,BO_MIXED,0.23706896551724138,487387.421875,0.0001,512,mean,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.23706896551724138,8656493.5,0.0001423562257359534,512,max,128,2
0,0,0_0,COMPLETED,Sobol,0.7629310344827587,572494.4375,0.0001865322718407359,256,mean,128,2
1,1,1_0,COMPLETED,Sobol,0.7629310344827587,11078445.0,0.042124781905866535,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,0.7629310344827587,12471389.5,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,0.7629310344827587,70878240.0,0.0007632231810882134,256,max,128,2
4,4,4_0,COMPLETED,Sobol,0.7629310344827587,1117074848.0,0.0028437033255790875,512,sum,128,2
5,5,5_0,COMPLETED,Sobol,0.7629310344827587,4564949.75,0.013215494743445832,128,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,0.7629310344827587,331248544.0,0.1,512,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,0.7629310344827587,6019070.5,0.00011825579381567118,512,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.7629310344827587,581783.9375,0.00019789910474492036,512,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.7629310344827587,9005293.25,0.00011963097841222211,512,max,128,2
12,12,12_0,RUNNING,BO_MIXED,,,0.1,256,sum,128,2
