,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@37,AUC@38,AUC@39,AUC@4,AUC@40,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
25,25,25_0,COMPLETED,BoTorch,0.5,0.40143705092158694,0.383388862446454,0.37188640330001577,0.36006663493574487,0.3534290271132376,0.34912618245951577,0.3522526855860189,0.35473785473785474,0.354978354978355,0.3287638287638288,0.44877371934298355,0.34078884078884075,0.3558188265635074,0.35477111540941325,0.35188786258304977,0.3516789516789517,0.3434782608695652,0.3418896321070234,0.33736864228667507,0.334870218579235,0.3346344002081707,0.45413635340883524,0.33211233211233215,0.32693150925195125,0.32645502645502644,0.34074074074074073,0.3413888888888889,0.3419444444444445,0.34444444444444444,0.3386939571150097,0.34929006085192693,0.35166105971404543,0.45904897622440566,0.3549201009251472,0.4459037612303944,0.44440618304254664,0.4206275957544993,0.4101010101010101,0.4076146076146076,0.37124513353028543,0.0,3,0.1,64,max,128
23,23,11_0,COMPLETED,BoTorch,0.5,0.49578256794751635,0.5051562747897826,0.508963985403776,0.5143582421069332,0.513317384370016,0.5225268558601892,0.5258938592271926,0.5271765271765271,0.5032868366201699,0.42400192400192394,0.48642466061651546,0.3639570306236972,0.4013539651837524,0.3805609284332689,0.37724842002916864,0.36158886158886167,0.3540969899665552,0.3430602006688963,0.32854140395124,0.3202698087431694,0.31190909879434475,0.4804245106127653,0.3130995988138845,0.30763834078751207,0.2993827160493827,0.30703703703703705,0.3063888888888889,0.30222222222222217,0.3025,0.2881091617933723,0.28569979716024346,0.284798149705635,0.4715367884197105,0.28532380151387715,0.47148621897365617,0.49456688093051726,0.49077065066912784,0.44786324786324777,0.4901320901320901,0.4083299057698446,0.8530405877913012,3,0.0001,16,max,128
15,15,15_0,COMPLETED,BoTorch,0.5,0.4237738206810372,0.4157544026653974,0.4136918927494843,0.41416785657623356,0.41371610845295054,0.4094917428250761,0.40925124258457585,0.4074875741542408,0.4078884078884079,0.4069264069264069,0.43538588464711614,0.4187109187109187,0.42085751128304316,0.42053513862024505,0.4235132069356668,0.4275184275184275,0.42115384615384616,0.42316053511705687,0.4240437158469946,0.4297301912568306,0.4234538988637349,0.4216230405760144,0.4242107099249956,0.4218188196088748,0.4241622574955909,0.43287037037037035,0.43342592592592594,0.4352777777777778,0.4351851851851851,0.43996101364522416,0.45010141987829616,0.4448065601345668,0.4235355883897097,0.4469091673675357,0.4259936043855642,0.42454851545760636,0.42293493308721736,0.42027972027972027,0.4228438228438228,0.4258205566802203,0.8302353188697152,3,0.00016172692223432783,64,max,128
10,10,10_0,COMPLETED,BoTorch,0.4410485262131554,0.4322867853795689,0.42987466285895604,0.42781215294304303,0.4259082976360464,0.4258373205741627,0.42183742183742184,0.42031425364758696,0.4194324194324194,0.41887125220458554,0.4178290844957511,0.4411235280882022,0.4195927529260863,0.42150225660863966,0.42263056092843326,0.42262194133851894,0.4248157248157248,0.4186454849498327,0.41989966555183944,0.4205968894493484,0.424863387978142,0.4204180761557811,0.43954848871221786,0.4222919937205652,0.419889502762431,0.42213403880070544,0.4325,0.4327777777777778,0.4333333333333334,0.43370370370370376,0.43918128654970756,0.4501014198782961,0.44501682085786376,0.43872346808670215,0.44564760302775436,0.4404979442667885,0.43717477808386906,0.43693277957237353,0.43271173271173274,0.4318570318570319,0.4292225308403601,0.022674347005235525,2,0.1,16,mean,128
5,5,5_0,COMPLETED,Sobol,0.43583589589739746,0.42970946579194,0.4261462795494209,0.41987942249722354,0.4172616214501031,0.41539074960127587,0.41133557800224463,0.4098124098124098,0.40885040885040885,0.40933140933140927,0.40917107583774254,0.44138603465086634,0.41317941317941315,0.41779497098646035,0.4212604771115409,0.4214065791605898,0.42538902538902534,0.421571906354515,0.4231605351170568,0.42496847414880207,0.4305840163934426,0.4272703616965912,0.43853596339908496,0.43031571603000174,0.42900990967289315,0.43209876543209874,0.4412962962962963,0.4426851851851852,0.44462962962962965,0.4464814814814815,0.452729044834308,0.4629817444219067,0.45920941968040374,0.4296857421435536,0.46099663582842726,0.4422491244099285,0.4357208448117538,0.4357021996615905,0.43030303030303024,0.4303030303030303,0.42978148542734157,0.5869624247832866,3,0.00043134529457281354,16,sum,128
14,14,14_0,COMPLETED,BoTorch,0.5,0.43088097469540765,0.4280501348564176,0.4259082976360463,0.42384578772013326,0.4236044657097289,0.41951258617925286,0.4181497514830848,0.417027417027417,0.4160654160654161,0.41614558281224945,0.4410860271506788,0.4177489177489177,0.41948742746615086,0.4208575112830433,0.421163506725004,0.42252252252252254,0.4168060200668896,0.41831103678929765,0.42026061370323653,0.4244364754098361,0.4198976494058461,0.43879846996174904,0.4224664224664225,0.42015259142330963,0.42248677248677247,0.43203703703703705,0.43314814814814817,0.43379629629629635,0.43500000000000005,0.4408382066276803,0.4517241379310345,0.4460681244743482,0.43804845121128033,0.4473296888141295,0.43981269986295113,0.436677379859198,0.4360867558837102,0.43123543123543123,0.4303807303807304,0.42992591141777714,0.022674347005235525,2,0.012309473805697118,32,mean,128
18,18,18_0,COMPLETED,BoTorch,0.5,0.42256326148078727,0.42678089798508645,0.4250356972870062,0.4234491511978423,0.4235247208931419,0.41919191919191917,0.41855058521725186,0.4171877505210838,0.4164662497995831,0.41590508257174924,0.44401110027750695,0.4166265832932499,0.4223081882656351,0.4240812379110251,0.4236752552260574,0.4253890253890254,0.4195652173913043,0.42098662207357856,0.4223623371164354,0.4262295081967213,0.4220660941972418,0.4410860271506788,0.42360020931449505,0.4218188196088748,0.4237213403880071,0.43342592592592594,0.4341666666666667,0.4348148148148148,0.4355555555555556,0.4416179337231969,0.45182555780933065,0.4470142977291841,0.4371484287107178,0.4482758620689655,0.43927973199329984,0.435376492194674,0.4353176434394709,0.4303807303807304,0.42432012432012434,0.4303183249666785,0.31405620712628507,2,0.014803972051622512,16,sum,128
0,0,0_0,COMPLETED,Sobol,0.4520738018450461,0.4325991877538269,0.4294780263366651,0.42757417102966844,0.42559098841821363,0.4252791068580542,0.4211560044893378,0.41983325316658654,0.41903158569825233,0.4184704184704185,0.4185505852172519,0.44112352808820227,0.42175725509058837,0.4248065764023211,0.42722437137330754,0.42756441419543023,0.42874692874692877,0.4228260869565217,0.42391304347826086,0.42513661202185793,0.4291325136612022,0.4237141122387024,0.43951098777469433,0.42551892551892556,0.42313426291326844,0.42425044091710756,0.4338888888888889,0.43453703703703705,0.43527777777777776,0.435925925925926,0.44093567251461985,0.45162271805273835,0.4461732548359966,0.43864846621165526,0.447224558452481,0.44068828993452114,0.4380547903275176,0.43770189201661286,0.4331779331779332,0.43216783216783217,0.43101570366297526,0.8530405877913012,2,0.005537727881833665,32,sum,128
24,24,13_0,COMPLETED,BoTorch,0.44119852996324904,0.4206497969384567,0.411074091702364,0.40560050769474854,0.4021101062985879,0.4035087719298245,0.4006734006734007,0.3996312329645663,0.40059323392656726,0.4074074074074074,0.4143819143819144,0.4393234830870772,0.427689594356261,0.4381850419084461,0.4441489361702128,0.4455517744287798,0.44930384930384937,0.4464882943143813,0.4489130434782609,0.4485918453131567,0.4504781420765027,0.44427096886113276,0.4305482637065927,0.4444444444444444,0.44146277295448566,0.44135802469135804,0.447037037037037,0.4472222222222222,0.4468518518518519,0.4474074074074074,0.4528265107212476,0.4636916835699797,0.45920941968040374,0.4317482937073427,0.46015559293523967,0.4351301964367291,0.4319712274257729,0.43024150130749117,0.4258741258741259,0.4256410256410257,0.433321445427828,0.08514730666466738,3,0.1,16,sum,128
17,17,17_0,COMPLETED,BoTorch,0.5588764719117978,0.42728834739144017,0.4244804061557988,0.4221799143265112,0.42011740441059814,0.41881977671451354,0.4148629148629149,0.4122975789642456,0.41133557800224463,0.4098124098124098,0.4091710758377424,0.5586889672241806,0.41029341029341027,0.4111863313990974,0.4144100580270793,0.4153297682709447,0.4178542178542179,0.41413043478260864,0.41672240802675586,0.41933585540142915,0.42435109289617484,0.42119871628068345,0.4502362559063977,0.42412349555206696,0.42330965535385423,0.4271604938271605,0.4361111111111111,0.438425925925926,0.43962962962962965,0.4406481481481481,0.4466861598440546,0.456896551724138,0.45185029436501256,0.4328358208955224,0.45290159798149704,0.43535861123800823,0.4331573308846036,0.4330103061067529,0.42905982905982903,0.42781662781662777,0.4334140234408971,0.7760962794243791,2,0.02035431916618696,16,sum,128
