,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@37,AUC@38,AUC@39,AUC@4,AUC@40,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
5,5,5_0,COMPLETED,Sobol,0.4043636861064247,0.40370480142264376,0.4038803520131321,0.4040080251698509,0.4041174593041813,0.4043636861064247,0.40461219278646665,0.4049883726232274,0.39878243493890664,0.4001681791611166,0.3952657101434785,0.40417445624914505,0.397765062843479,0.3895201617193318,0.39234972084030323,0.3829656282549001,0.3809842402616711,0.3838617113223855,0.38895323426573425,0.3940574667999901,0.39264120466401276,0.39626054878973166,0.40428389038347545,0.3953619721585435,0.3949828820417056,0.39159850767685467,0.39849447188896736,0.403354119425548,0.40224875795345594,0.4015954709212557,0.39637478923193215,0.3933061017700516,0.4008125472411186,0.40426109160548995,0.39663564170438054,0.40433404769504355,0.40454379645251015,0.40470794765400575,0.4039692672472755,0.4040308239478364,0.3989033070490384,0.5549711468380402,3,0.00043134529457281354,16,sum,128
21,21,9_0,COMPLETED,BoTorch,0.4039259495691031,0.40505904883498245,0.4052072408918882,0.40520040125849255,0.4056677762071953,0.40586156582007205,0.40595048105421544,0.40600291824358214,0.3999799223664838,0.4009491821030541,0.3966155076738489,0.40442068305138845,0.39896818140717144,0.3911692733269496,0.39312637135843237,0.38343906827005014,0.3808138814550501,0.38392048401037165,0.3892956002331002,0.3939748283185548,0.39221311113661045,0.395856283794027,0.40442068305138845,0.394891303144069,0.39530656707127293,0.39177787343951787,0.39874651342541256,0.4030045351473923,0.4023794996949359,0.40261194029850744,0.3967236467236467,0.39447769228333485,0.40171957671957675,0.4042724909944827,0.39840748014687044,0.40447995987415075,0.4045551958415029,0.40480370252154485,0.4049382153116593,0.40489945738908395,0.3995140503219886,0.6149525700214122,3,0.1,16,sum,128
24,24,24_0,COMPLETED,BoTorch,0.40437964525101455,0.40455747571930145,0.40477178423236515,0.4049199762892709,0.405152523824723,0.40517760248050705,0.4052801969814418,0.4054489079385345,0.4007089316786814,0.4019074679213822,0.3978328250762386,0.40411061967078565,0.4007188570624818,0.3932705606979466,0.3953395537789751,0.38320530726256985,0.38098424026167116,0.38423163353500434,0.3895469114219114,0.39414423720549707,0.3921336711005976,0.396053362979433,0.4042223336829146,0.3952623010731253,0.3955742296918767,0.39219400200889654,0.39857848573444904,0.4034202569916856,0.4023359191144426,0.40187853834276893,0.3964765393336821,0.3938444001139926,0.40064247921390783,0.40415621722675665,0.39787379386901195,0.4042474123386986,0.4044412019515754,0.4045232775523232,0.40458483425288405,0.4045688751082942,0.3996188033498125,0.5549711468380402,2,0.0017073470796475129,16,sum,128
0,0,0_0,COMPLETED,Sobol,0.40453011718571885,0.405152523824723,0.4053257945374128,0.4053941908713693,0.4058912042314532,0.4062058273676531,0.4064566139254936,0.4064246956363139,0.3995114442511043,0.40197933935775687,0.3973054041893716,0.40470794765400575,0.4005254538695709,0.39256569847856154,0.3951739045425908,0.38447471830319097,0.3819041778174249,0.3853275713050994,0.38959790209790207,0.3950202051087109,0.3930825381974173,0.39694274596998325,0.404422962929187,0.3962313255146904,0.39788359788359784,0.39347108623905874,0.40022515710589107,0.4038359788359789,0.40320753072430926,0.4011966031909418,0.39519739519739516,0.39279946803457777,0.3988095238095238,0.4045985135196753,0.3994108103492443,0.4046600702202362,0.4047695043545666,0.40507044822397514,0.4050704482239752,0.405198121380694,0.40006220459590164,0.5949587622936215,2,0.005537727881833665,32,sum,128
4,4,4_0,COMPLETED,Sobol,0.40440700378459715,0.40497241347863755,0.40511832565774475,0.40524599881446355,0.4055765810952533,0.40615794993388354,0.4062286261456386,0.40644065478090374,0.3995735893072261,0.4015217578795051,0.39752537119432085,0.4044275226847841,0.4002416284046497,0.39290084051494845,0.39492950402989285,0.3849244863175836,0.3826444642680147,0.38643388072601553,0.39112033799533796,0.39577221528977186,0.39365185845550915,0.39765526302491283,0.40442980256258265,0.39742184125718466,0.39762838468720824,0.3942387717032573,0.4008720637161004,0.40579176114890403,0.40504881025015255,0.4047992794647452,0.399718006860864,0.39674171178873374,0.4037981859410431,0.40428617026127395,0.40094782682947655,0.40447084036295655,0.40460763303086955,0.40492681592266655,0.4050727281017737,0.4050180110346085,0.4004509078919271,0.5949587622936215,2,0.05285635217614035,32,mean,128
18,18,18_0,COMPLETED,BoTorch,0.40436368610642465,0.40495417445624915,0.4051662030915143,0.4053485933153983,0.4058000091195112,0.406292462723998,0.4065706078154211,0.4060462359217546,0.3999368988660918,0.4026740965760448,0.3990501424786282,0.4044161232957913,0.4021379843870877,0.3951138418980742,0.3968331124676848,0.3871200643878421,0.3851038259490534,0.38831460674157303,0.39288680069930065,0.3974084572221901,0.39591148614654037,0.3999090403759664,0.40441156354019425,0.3997585744819872,0.4003734827264239,0.3968216386856077,0.4036277178479013,0.4089285714285714,0.4083064586420291,0.4080416881111683,0.4031775103203674,0.4005572971090212,0.40712396069538925,0.40432948793944645,0.4043207241055419,0.40457343486389125,0.40488121836669555,0.4049290958004651,0.4050567689571839,0.4049518945784506,0.40158704337346196,0.5549711468380402,2,0.1,16,sum,128
20,20,20_0,COMPLETED,BoTorch,0.4030231179608773,0.40484930007751585,0.4048698189777028,0.40487665861109845,0.405061328712781,0.40520496101408965,0.40546486708312435,0.405745292052346,0.3994803717230434,0.40025682059931195,0.39568814677798325,0.5957161096165245,0.3982297328524208,0.38998031705500585,0.39222480502270207,0.3829242022535745,0.3805196253345227,0.3838236819360415,0.38898601398601396,0.39359055937988086,0.39182473762721437,0.3957198443579767,0.4040353837034335,0.3947916320586509,0.39473389355742294,0.39139761802267187,0.3979987902006251,0.40290060468631894,0.4019981696156193,0.40106793618116315,0.3956334670620385,0.39286279725151196,0.39971655328798184,0.403966987369477,0.397489539748954,0.4043226483060508,0.4042177739273175,0.4045187177967261,0.40465779034243765,0.4046190324198623,0.4048628260104161,0.5749649545658307,3,0.02518709417061373,16,sum,128
23,23,23_0,COMPLETED,BoTorch,0.5946308877844148,0.4050795677351694,0.40515480370252155,0.40524599881446355,0.40546942683872145,0.40578860973051845,0.4063289407687748,0.4061647895672792,0.39947798152857716,0.4006760706448306,0.39624056391541274,0.40476722447676805,0.39878231340359477,0.39087136929460575,0.39322684712476375,0.38311357825963455,0.3807921994251165,0.3838928262748488,0.389310168997669,0.39383021097604315,0.39214691110659966,0.3957552175451008,0.40353609046555106,0.3947307219508954,0.39539371304077187,0.391928540680155,0.398334845582552,0.4029761904761905,0.4018456375838927,0.4014925373134329,0.3959677888249317,0.3937177416801242,0.40032123960695387,0.4041265788153755,0.39791648877124064,0.40426109160548995,0.4045095982855319,0.4047558250877753,0.40495417445624915,0.4050339701791984,0.40519707362942636,0.5549711468380402,3,0.0024776499782207225,16,sum,128
15,15,15_0,COMPLETED,BoTorch,0.591270347909352,0.40514568419132735,0.4052391591810679,0.405243718936665,0.40555606219506635,0.4056495371848069,0.40607587433313574,0.40614427066709224,0.39984368128190906,0.40044129061934014,0.39595560665900115,0.59573890839451,0.3985487225342349,0.3905708054048303,0.39243390323912153,0.3828886942524382,0.38036475369213996,0.38357130509939497,0.3889750874125874,0.3936236147724549,0.39197479102857197,0.39559856485926526,0.40426565136108705,0.3943707985868855,0.39457827575474635,0.39173482565647866,0.3983432469671002,0.40298563869992443,0.40181295214852264,0.40137673700463206,0.39567707424850285,0.39306861720654823,0.4000377928949358,0.40421093429392185,0.3972333703355819,0.404468560485158,0.40448451962974785,0.40478090374355935,0.40502257079020565,0.4050658884683781,0.4108253482234075,0.5949587622936215,3,0.019320872609921057,16,sum,128
17,17,17_0,COMPLETED,BoTorch,0.5747685924034471,0.4051251652911404,0.40518216223610415,0.40518216223610415,0.40546486708312435,0.40552414390588665,0.40597099995440245,0.40637225844694724,0.3994588599728474,0.40030952631932004,0.39521571764235364,0.5956180748711869,0.398038841389288,0.38855197361421423,0.3906443483739219,0.3806931161821797,0.37827398651997224,0.3809611063094209,0.3865821678321678,0.39147914617920987,0.3891899764327893,0.3930365354489868,0.5956408736491724,0.39179042493106087,0.39155929038281984,0.3878103027694073,0.3949154820714454,0.3996031746031746,0.39860977948226267,0.3975553268142048,0.3922902494331066,0.38890472119312247,0.39618291761148905,0.4045734348638913,0.3941593373751174,0.4042770507500798,0.4043408873284392,0.4047056677762072,0.4048926177556883,0.4049199762892709,0.4150240578972704,0.6149525700214122,3,0.1,64,sum,128
