,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@37,AUC@38,AUC@39,AUC@4,AUC@40,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
21,21,21_0,COMPLETED,BoTorch,0.4024699717056952,0.3891485285860554,0.389360460635686,0.38964670652090144,0.3903540641410972,0.3911329832325968,0.39198896852396203,0.39278715416542814,0.38108095249423124,0.38424704154377076,0.37408010461806707,0.38919256641455013,0.3779141937235735,0.36116951612332304,0.3619254553342304,0.353356488071514,0.34945233801082126,0.3503451171055072,0.352078494276459,0.34893884892086335,0.34148330330251336,0.35018897237866176,0.3891815569574264,0.3503681392235609,0.34894330136858764,0.3557246566955305,0.3643937451935402,0.3733388467461359,0.37622929606625255,0.3736885078587467,0.37697806149973034,0.37490900266925503,0.3769456935316499,0.38917329986458365,0.363499245852187,0.3892255947859211,0.3892641278858539,0.3893384417214387,0.3893604606356861,0.38928889916438225,0.37649151479487536,0.025346435682344876,2,0.017556830184023483,16,mean,128
25,25,16_0,COMPLETED,BoTorch,0.5,0.3884246567801742,0.38860631282271474,0.38878521650097436,0.38919807114311195,0.39000451387742074,0.3910861930398212,0.39170272263874667,0.38008480624212004,0.3832320313339622,0.373099310238724,0.3879237264810473,0.3769282490916379,0.36039432232487345,0.3617931014198634,0.35328328222480704,0.34915761228170505,0.3503402356754435,0.35229202037351437,0.3490227817745803,0.34195678192363843,0.3498453862356403,0.38792923120960904,0.3501506024096386,0.34864537752537006,0.3551342604740663,0.36404768008203026,0.373110705526721,0.3771350931677019,0.3738926311492141,0.37754001078942634,0.376631885464693,0.37876167416118994,0.387896202838238,0.36384204031262857,0.3879787737666656,0.3881907058162962,0.3882540101947573,0.38829529565897103,0.3883063051160947,0.3788862251162747,0.025346435682344876,2,0.1,32,mean,128
12,12,12_0,COMPLETED,BoTorch,0.3874393103676058,0.3873539870748973,0.3875851856744944,0.3876457376886746,0.38822923891622907,0.38838612368024134,0.3896714777994297,0.3901586462771521,0.37917489354616174,0.3811960402660521,0.37141657478396883,0.578786427541258,0.3749595924331174,0.35820678914020737,0.3594585254303341,0.351599547750547,0.3469669643249901,0.347855587772994,0.35012030372785313,0.3475359712230216,0.34012862835873897,0.3482320252162352,0.38717783576091863,0.3476656626506024,0.3463457778605344,0.3519636140995364,0.36118943860548575,0.3703017167626761,0.37391627846790887,0.3713410900183711,0.3748876101420608,0.3735501091967968,0.37720511933586987,0.38712003611101936,0.3619909502262444,0.38719159758232324,0.3872466448679416,0.38741729145335835,0.3874117867247966,0.3873457299820546,0.37974318662955503,0.07603930704703463,2,0.0020946866762740035,32,sum,128
19,19,19_0,COMPLETED,BoTorch,0.6113716682630379,0.38781638427409143,0.38797877376666556,0.3881329061663969,0.38872741685107504,0.3894733075712037,0.3902797503055125,0.3910696788541358,0.37940088493470037,0.38251256821465673,0.37232044411395165,0.3877530798956304,0.37633991491782715,0.3598881455523698,0.3614291281553541,0.3527301713830212,0.3485857563893899,0.34979351550830334,0.3519535033903778,0.3489448441247002,0.34154248813015403,0.34958396199638486,0.38774207043850667,0.35026773761713526,0.34862675728516895,0.35469692993964835,0.3634965393488849,0.3729966349170136,0.3767792443064182,0.3734231475811389,0.37754001078942634,0.37655908760009704,0.3797993773780699,0.3876127093173035,0.3636363636363636,0.3876705089672028,0.3877778511741586,0.3878466602811815,0.3877475751670685,0.3877338133456639,0.38187651784184024,0.0,3,0.05195459896694642,16,mean,128
5,5,5_0,COMPLETED,Sobol,0.4083325076240491,0.39048067289801935,0.3902659884841078,0.39072563331902105,0.3902384648412987,0.39192015941693914,0.3916394182602856,0.39175501756008413,0.37812819658871943,0.3821185054273193,0.3712402882125183,0.5,0.375095361857843,0.357658135995186,0.3590320517062625,0.35092036017276584,0.347054942154577,0.3477091448710814,0.3496203401835283,0.3461330935251798,0.3388660187024055,0.34685768064414935,0.3796859001882617,0.3464524765729585,0.34394376687459266,0.3500284264847371,0.3588951550884389,0.3692750812753094,0.3733501552795031,0.36991222698509896,0.37394353533537134,0.3711720456199952,0.37530266343825663,0.38458235624401355,0.3594542712189771,0.6032274223558036,0.3889365965364248,0.38864484592264753,0.390461406348053,0.3905715009192896,0.3846717275978611,0.6837621671531833,3,0.00043134529457281354,16,sum,128
17,17,17_0,COMPLETED,BoTorch,0.6126377558322599,0.38820446763770083,0.3884329138730169,0.38843841860157874,0.3887136550296705,0.38878796886525524,0.38946780284264176,0.39019993174136586,0.37905000356828505,0.3803959733947912,0.3701601323110849,0.6130726293886448,0.3739930434332855,0.3565183533326254,0.3577489540364267,0.35042418721175195,0.34592002815290546,0.34613244296048973,0.3487610278417199,0.3460011990407674,0.3390106927255271,0.3460883464543404,0.6139699001442238,0.3455153949129853,0.34374825435248113,0.3497988279541678,0.3587798000512689,0.3680203045685279,0.3714738612836439,0.3696876913655848,0.3729095486423305,0.3700072797864596,0.3736308082555056,0.3892008235073928,0.35911147675853555,0.3881356585306779,0.3880173068665984,0.3879347359381709,0.3881026301593068,0.38802005923087934,0.3940477728104347,0.8528755723780858,3,0.02624932291067976,16,sum,128
0,0,0_0,COMPLETED,Sobol,0.6120157215047726,0.3880200592308793,0.3884329138730169,0.38890632052933477,0.3901311226343429,0.39145500985346415,0.3928036683511136,0.3938578238707049,0.3830554035730428,0.38898773628840616,0.37929177671222336,0.6118918651121313,0.38531685997646664,0.37028423772609825,0.3716130265663718,0.36269430051813467,0.35861522896230147,0.3601665543937752,0.36069244950888996,0.35815347721822544,0.35237331158838925,0.3626402354312006,0.40309200603318246,0.36547858099062913,0.36634391583651427,0.37235415026677166,0.38085106382978723,0.3904351793760338,0.39212927018633537,0.38883445601143096,0.39839956842294555,0.3980587236107741,0.40078404243053156,0.3846318988010701,0.3880433292197998,0.3852236571214674,0.38577963470621257,0.38603560458433794,0.38617872752694565,0.3878879457453953,0.39530840706764014,0.12673217841172438,2,0.005537727881833665,32,sum,128
15,15,15_0,COMPLETED,BoTorch,0.5,0.4116656207682399,0.41157754511125055,0.41189681936783695,0.41188580991071333,0.41282436613050605,0.4132922680582621,0.41452257489183214,0.4013815210409877,0.4050010150102098,0.3898817918408164,0.4125546344309762,0.39345656024929854,0.374011539414534,0.37267921087655054,0.36427229321381804,0.3602076276778252,0.36012262152320146,0.3626714718718427,0.36148681055155873,0.35332026883063933,0.36058618783705054,0.4124665587739868,0.3616633199464525,0.36363467088725443,0.36922723694568355,0.3759677005895924,0.3819654366052587,0.37742624223602483,0.3746887119820371,0.3780345261643589,0.37362290706139284,0.37083477458780123,0.4125408726095716,0.37395447689565336,0.41216930343164776,0.41185002917506147,0.4118775528178706,0.41182250553225225,0.41190232409639876,0.39558463675048144,0.8275291366957409,3,0.0001,32,mean,128
9,9,9_0,COMPLETED,BoTorch,0.6061476808578569,0.39158437097466725,0.39146326694630684,0.39180731248142153,0.391526571324768,0.3929633054794068,0.3936183681782651,0.39517345399698345,0.3808698289602017,0.38403508352936966,0.3728332777763532,0.3874475674604485,0.37675368840270507,0.3591129517539202,0.3487709468451974,0.3405902018041175,0.3375665332336251,0.3360815784592254,0.3401731123772225,0.3824520383693045,0.3622242973445741,0.3487996892786185,0.4024039149629532,0.3318022088353414,0.3223070477609161,0.326292311729205,0.33126121507305817,0.3399731934067188,0.33399650621118004,0.33372116758522147,0.33480938680093514,0.3264741567580684,0.3268765133171913,0.6015980227015005,0.32490058960647195,0.6218636809018947,0.6218471667162092,0.3910889454041021,0.3911494974182823,0.3916779513602184,0.3979671562373211,0.5467572820833534,2,0.001490563522780467,16,sum,128
13,13,13_0,COMPLETED,BoTorch,0.6165240941969151,0.39668725435148794,0.3952450154682873,0.3941798504915722,0.3934504739571292,0.3925642126586738,0.3932357895432176,0.3938963569706378,0.3816072745438542,0.3820438723236569,0.5047501217979948,0.6136120927877047,0.37629465844291865,0.36047927506990896,0.3620761917367039,0.35327108125035583,0.3493687590727137,0.35047691571722855,0.3524586748882894,0.34929256594724223,0.3425025975563242,0.35042798882598114,0.6149249705497022,0.3508366800535475,0.34911088353039754,0.355418525321438,0.3641117662137913,0.37358124679176413,0.3777820910973084,0.3751377832210655,0.3799676317209135,0.3784518320795923,0.3815288827395365,0.6175149453380454,0.3651446592623063,0.6194828857989013,0.5987823540421222,0.43218174411819754,0.41246105404542505,0.399180896389999,0.4242790143707087,0.5885162584909016,3,0.032826618501297984,16,sum,128
