,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@37,AUC@38,AUC@39,AUC@4,AUC@40,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
21,21,21_0,COMPLETED,BoTorch,0.502806279049373,0.5007709959367418,0.500621181560408,0.5003727089362449,0.4999378818439592,0.49949940074249466,0.49908284369610334,0.49789894472214913,0.49786382850241545,0.49651927437641724,0.49733897698448515,0.5016333421029554,0.495915389657002,0.49860217257634765,0.49784781256479366,0.4901891091364776,0.48636359352765446,0.49156687468375776,0.49568711253575526,0.5026580879156368,0.5043769173807257,0.5036837086255691,0.5011912069923119,0.5002729583567906,0.5029949922958398,0.4890422077922078,0.48990498812351546,0.4910233111918787,0.48532161555721764,0.47992286265266765,0.47116151545363916,0.4683939526730938,0.47734291084854996,0.5013373673594668,0.48319882611885545,0.5011619749188809,0.5012971732584992,0.5011912069923119,0.5010267765792628,0.5009573504048641,0.49700248311141887,0.8945646762266581,2,0.002877644524408074,16,sum,128
29,29,29_0,COMPLETED,BoTorch,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8945646762266581,3,0.1,16,mean,128
13,13,13_0,COMPLETED,BoTorch,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8672504949502244,2,0.0001,64,mean,128
25,25,25_0,COMPLETED,BoTorch,0.5,0.5156318512672103,0.5165563155894647,0.516972872635856,0.5273429506854921,0.5251322751322751,0.5509332339442836,0.5394413750767342,0.5247697765700483,0.5117422524565381,0.5059561787087036,0.5496031746031746,0.5020988733185606,0.4966386554621849,0.4979141613103877,0.49223969013442687,0.48628820219954194,0.48231151964918195,0.4855031331040547,0.4630041361835323,0.45793002221516965,0.4687461547926664,0.5503814785582741,0.45475715236194275,0.4594568567026194,0.45847988816738816,0.4366227596631397,0.4305677403183356,0.425037397157816,0.4014570387829441,0.4159272183449651,0.419478527607362,0.4201799140708915,0.5595420795697039,0.40132061628760085,0.5341028676664037,0.5247632202052092,0.5190191177760239,0.5187341050600719,0.5228814054780906,0.5006088174519729,0.8945646762266581,3,0.1,16,max,128
23,23,23_0,COMPLETED,BoTorch,0.5,0.5062337396591541,0.5063360519161625,0.5061095033470724,0.5057587184659008,0.5052325411441433,0.5047355958958168,0.5034786167382852,0.5034684480676328,0.5022146636432351,0.5017740153436766,0.50660279458622,0.5001716550669455,0.5027341668374667,0.5014389384200706,0.49511050353155617,0.4914854918812963,0.49602588969472083,0.5011630883613254,0.5074215305121167,0.5099108748545436,0.5100129198966408,0.5066027945862199,0.5080778613712745,0.5094761171032357,0.4962121212121212,0.49684193478730293,0.5000939967414464,0.4919596110695587,0.48785086779515746,0.4800598205383848,0.4760078878177038,0.48502953813104194,0.5064968283200327,0.4901687454145268,0.5064310561548131,0.5062995118243737,0.5061095033470724,0.5063068198427315,0.506321435879447,0.5023397203522396,0.0,3,0.00438016535605145,16,mean,128
0,0,0_0,COMPLETED,Sobol,0.4889904703440615,0.5013958315063287,0.5013446753778246,0.5015492998918414,0.5020645151860622,0.5030474436551785,0.5035297728667895,0.5056856382823234,0.504981884057971,0.506307634164777,0.5042444095174367,0.49618156040807976,0.5054149371118255,0.5029350276696044,0.5032054737715115,0.5111551606288448,0.5153939668089678,0.5105045117220441,0.5072790410364286,0.49958389745245874,0.49880990161853384,0.49986926295065837,0.49089420912625326,0.5043417438627019,0.5014734206471494,0.5157602813852814,0.51384690131721,0.5147731545306429,0.5181189229618548,0.5241482751232055,0.5348953140578265,0.5370836985100789,0.5278933941997852,0.4913509602736122,0.5225238444607484,0.49209637814610185,0.49826069163085734,0.4979976029699787,0.49778932444678303,0.49529363617761407,0.5038612186536187,0.8945646762266581,2,0.005537727881833665,32,sum,128
5,5,5_0,COMPLETED,Sobol,0.5104358502148558,0.5027916630126574,0.502890321260487,0.5027916630126575,0.5027989710310152,0.5027916630126574,0.5030072495542108,0.5036211230962613,0.5015247584541063,0.5021315192743764,0.49437061359144735,0.5038403636469935,0.4950298055616241,0.49235908997745437,0.49073190959983415,0.5014171793119162,0.5027706313081337,0.5003689492325856,0.5050919897158503,0.495925921325566,0.5039868295779117,0.5066752799310938,0.5129680785758135,0.5137502772233311,0.5113058551617874,0.5133026695526696,0.5192992874109263,0.5280110289509964,0.5197643979057591,0.5229483608313691,0.5351944167497507,0.52204754601227,0.5260808270676691,0.5044907772808325,0.5185619955979457,0.5044067350697184,0.5050059925750534,0.5027916630126575,0.5029816714899589,0.5029012832880236,0.5051975533589944,0.8672504949502244,3,0.00043134529457281354,16,sum,128
2,2,2_0,COMPLETED,Sobol,0.5042459586658482,0.5085686515244526,0.5009865824782952,0.4990974597328188,0.5010962027536614,0.5012715951942471,0.5096977403607238,0.5118389897395422,0.5117225241545894,0.5122184429327287,0.5072633479093074,0.504220380601596,0.5075840329577728,0.5059725353556057,0.5053701015965166,0.5102483481430851,0.5111343567706125,0.5063353853938269,0.5044130577537369,0.4977828565750413,0.4979503861208082,0.504452750092285,0.5042313426291327,0.5111401129365202,0.51307781201849,0.5247001262626263,0.5162356942345065,0.5109192881313447,0.500261780104712,0.49228626526676666,0.5055084745762712,0.5042999561787905,0.49127282491944146,0.5043775029962876,0.4825018341892884,0.504052296179368,0.5035772749861147,0.5044505831798649,0.5046040515653776,0.5068841532929931,0.5056326234930788,0.839936313673791,3,0.029596803379450407,16,sum,128
14,14,14_0,COMPLETED,BoTorch,0.5,0.5213321055862492,0.5246645619573796,0.5263307901429448,0.5068403051828466,0.5071764740273028,0.48174457014236016,0.4741076909585197,0.4802309782608696,0.48638699924414214,0.49373648091377353,0.4834144523371043,0.49577884585374987,0.4965607706497233,0.4972174994816504,0.49369788106630214,0.49919425518079785,0.4958677685950413,0.5004507663027146,0.5125513917698643,0.5166217073944779,0.5085363602805464,0.48341079832792544,0.518416159134722,0.5187211093990756,0.5298520923520924,0.5312567480025913,0.5378806868028574,0.5387808526551983,0.5552174844653954,0.5678963110667996,0.5751533742331288,0.5641111707841031,0.4732124587096963,0.5685986793837123,0.4788944429828408,0.49307199859686046,0.5089011663597299,0.5142140957058084,0.5163553450846269,0.5059086165975565,0.0,3,0.007769077379426804,32,max,128
3,3,3_0,COMPLETED,Sobol,0.5,0.49426320558917247,0.4929404542664211,0.49135461428279104,0.4962729106375515,0.5043117308310678,0.5181531176006313,0.5289982168435208,0.5236865942028985,0.5220937263794407,0.512546490095081,0.565150983659271,0.5074240816453919,0.5084853453576552,0.5043873108024052,0.5150421508316245,0.5143950317114774,0.5166765053128689,0.5090988012955358,0.4978014880323939,0.4928065164498043,0.5058908576350437,0.56512175158584,0.490088199669038,0.48257896764252695,0.4731917388167388,0.47377726193046854,0.46954505577139993,0.467988032909499,0.46923076923076923,0.4513958125623131,0.4436623575810692,0.45686761546723953,0.5626443333625655,0.4627659574468085,0.5243795492414277,0.5052763892542897,0.501987780993306,0.4959294337747376,0.4967186997573737,0.5060435285107244,0.6159679973959933,2,0.00014041306205462534,64,max,128
