,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@3,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
9,9,9_0,COMPLETED,BoTorch,0.42828282828282827,0.38769230769230767,0.23140495867768598,0.2363636363636364,0.24113475177304966,0.2612612612612613,0.2711864406779661,0.2790697674418605,0.31034482758620685,0.2954545454545454,0.6111111111111112,0.42828282828282827,0.6428571428571429,0.42828282828282827,0.42828282828282827,0.40776014109347436,0.38185185185185183,0.39103313840155945,0.39025341130604285,0.4386401326699835,0.37209010493347927,0.72704016075154,2,0.002555927117168836,32,sum,128
27,27,27_0,COMPLETED,BoTorch,0.5,0.3861538461538461,0.2341597796143251,0.2363636363636364,0.2446808510638298,0.25675675675675674,0.2711864406779661,0.2713178294573644,0.31034482758620685,0.2954545454545454,0.6111111111111112,0.42828282828282827,0.6428571428571429,0.42828282828282827,0.42828282828282827,0.40776014109347436,0.38185185185185183,0.39103313840155945,0.39025341130604285,0.4369817578772803,0.3771519377931897,0.11971079408996035,2,0.00028227254904608797,64,mean,128
20,20,20_0,COMPLETED,BoTorch,0.5,0.38692307692307687,0.23691460055096422,0.24242424242424246,0.24645390070921985,0.2657657657657658,0.2768361581920904,0.2984496124031008,0.3275862068965517,0.3181818181818182,0.6111111111111112,0.4265993265993266,0.6428571428571429,0.42626262626262623,0.42626262626262623,0.4065255731922399,0.38018518518518524,0.39005847953216377,0.39005847953216377,0.43656716417910446,0.3785983844725646,0.9489019238675509,3,0.0009651383533783142,64,mean,128
4,4,4_0,COMPLETED,Sobol,0.5727272727272726,0.4046153846153846,0.30578512396694224,0.3151515151515152,0.3085106382978724,0.3198198198198199,0.33898305084745767,0.34883720930232565,0.44827586206896547,0.45454545454545453,0.8333333333333334,0.4055555555555556,0.8571428571428571,0.40521885521885526,0.4053872053872054,0.3936507936507937,0.3894444444444444,0.3980506822612086,0.39727095516569205,0.36318407960199006,0.3986439826315371,0.8808422741363214,2,0.05285635217614035,32,mean,128
8,8,8_0,COMPLETED,BoTorch,0.5717171717171717,0.38769230769230767,0.2341597796143251,0.2363636363636364,0.24113475177304966,0.2612612612612613,0.2711864406779661,0.2790697674418605,0.31034482758620685,0.2954545454545454,0.6111111111111112,0.5717171717171717,0.6428571428571429,0.5718855218855219,0.42828282828282827,0.40776014109347436,0.38185185185185183,0.39103313840155945,0.39103313840155945,0.43781094527363185,0.4039359130465507,0.2625724605316135,3,0.059237926010593696,32,sum,128
5,5,5_0,COMPLETED,Sobol,0.5718855218855219,0.3861538461538461,0.2341597796143251,0.2363636363636364,0.2446808510638298,0.25675675675675674,0.2711864406779661,0.2713178294573644,0.31034482758620685,0.2954545454545454,0.6111111111111112,0.5717171717171717,0.6428571428571429,0.4946127946127946,0.5740740740740741,0.40776014109347436,0.38185185185185183,0.39103313840155945,0.39025341130604285,0.43781094527363185,0.40866943566282277,0.27223859892491764,3,0.00043134529457281354,16,sum,128
12,12,12_0,COMPLETED,BoTorch,0.5,0.46,0.40495867768595045,0.22424242424242424,0.4787234042553191,0.5045045045045046,0.6045197740112995,0.5891472868217055,0.6379310344827587,0.6363636363636364,0.8333333333333334,0.45993265993265997,0.8571428571428571,0.4508417508417509,0.43973063973063975,0.4007054673721341,0.3911111111111111,0.4155945419103314,0.4428849902534113,0.27860696517412936,0.43927124509208515,0.9481443696937996,2,0.00026157237227675923,64,max,128
7,7,7_0,COMPLETED,Sobol,0.42828282828282827,0.6123076923076923,0.2341597796143251,0.2363636363636364,0.23049645390070922,0.24774774774774777,0.26553672316384186,0.2713178294573644,0.31034482758620685,0.2954545454545454,0.6111111111111112,0.42828282828282827,0.6428571428571429,0.42828282828282827,0.42828282828282827,0.5934744268077601,0.6187037037037038,0.6089668615984406,0.6093567251461988,0.560530679933665,0.4556826343393751,0.8127826244050921,2,0.0020555726219821735,16,sum,128
22,22,22_0,COMPLETED,BoTorch,0.432996632996633,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4950682003659032,0.9489019238675509,3,0.005830524161707598,32,mean,128
6,6,6_0,COMPLETED,Sobol,0.5,0.5661538461538462,0.6666666666666667,0.6181818181818182,0.6382978723404256,0.5945945945945947,0.6045197740112995,0.5503875968992248,0.7586206896551724,0.8181818181818181,0.5555555555555556,0.44781144781144777,0.5714285714285714,0.44242424242424244,0.4407407407407407,0.46384479717813054,0.482962962962963,0.49980506822612086,0.5099415204678363,0.5074626865671641,0.527182273540474,0.9489019238675509,3,0.011085610714303211,64,max,128
