,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@31,AUC@32,AUC@33,AUC@34,AUC@35,AUC@36,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
6,6,6_0,COMPLETED,Sobol,0.5,0.5204802259887005,0.5311730926989335,0.43731041456016173,0.5083850931677019,0.5304449648711944,0.6296791443850267,0.5303571428571429,0.3626373626373626,0.3230769230769231,0.32765151515151514,0.5,0.328125,0.3602941176470588,0.3877551020408163,0.3571428571428571,0.24999999999999997,0.2272727272727273,0.23636363636363633,0.28,0.25,0.30000000000000004,0.4927944862155389,0.24,0.275,0.41666666666666663,0.5,0.5833333333333334,0.5555555555555556,0.6666666666666666,0.4965538847117795,0.4868421052631579,0.4705513784461153,0.4777568922305765,0.4721153846153846,0.47102864583333326,0.47330042510725545,0.03781589275070136,3,0.011085610714303211,64,max,128
16,16,16_0,COMPLETED,BoTorch,0.5125313283208021,0.47210451977401124,0.49999999999999994,0.5212335692618807,0.4745341614906833,0.4839968774395003,0.4518716577540106,0.4392857142857143,0.4340659340659341,0.4707692307692307,0.38636363636363635,0.49561403508771934,0.53125,0.5294117647058824,0.41836734693877553,0.42857142857142855,0.3611111111111111,0.2909090909090909,0.3090909090909091,0.26,0.3,0.3333333333333333,0.4962406015037594,0.27999999999999997,0.2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.49592731829573933,0.4965538847117795,0.49561403508771934,0.49404761904761907,0.49182692307692305,0.4866536458333333,0.47413094578798126,0.0,3,0.0001,16,mean,128
13,13,13_0,COMPLETED,BoTorch,0.487468671679198,0.4939971751412429,0.48031173092698937,0.46410515672396363,0.4397515527950311,0.46487119437939106,0.5280748663101604,0.49464285714285716,0.42582417582417587,0.3523076923076923,0.42424242424242425,0.487468671679198,0.49375,0.41911764705882354,0.4693877551020408,0.5384615384615384,0.4444444444444444,0.4545454545454546,0.45454545454545453,0.44000000000000006,0.525,0.43333333333333335,0.4884085213032582,0.44000000000000006,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.487625313283208,0.48793859649122806,0.4887218045112782,0.487155388471178,0.4875,0.4895833333333333,0.48206601649020325,0.017204693849595908,2,0.1,64,sum,128
5,5,5_0,COMPLETED,Sobol,0.487468671679198,0.49258474576271183,0.4757998359310911,0.46511627906976744,0.4496894409937888,0.4746291959406714,0.536096256684492,0.5053571428571428,0.4725274725274725,0.4461538461538462,0.4507575757575758,0.487468671679198,0.4875,0.4852941176470589,0.47959183673469385,0.43956043956043955,0.5277777777777777,0.5272727272727273,0.5272727272727273,0.56,0.475,0.5333333333333332,0.48778195488721804,0.52,0.39999999999999997,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.487625313283208,0.487468671679198,0.48715538847117795,0.4868421052631579,0.48717948717948717,0.48795572916666663,0.48304906341472653,0.0,3,0.00043134529457281354,16,sum,128
17,17,17_0,COMPLETED,BoTorch,0.5,0.550494350282486,0.5705496308449549,0.5075834175935289,0.493167701863354,0.4879000780640125,0.4946524064171123,0.4267857142857143,0.3516483516483516,0.36923076923076925,0.3901515151515152,0.5178571428571429,0.40624999999999994,0.38235294117647056,0.4387755102040816,0.3736263736263736,0.2361111111111111,0.2181818181818182,0.2181818181818182,0.18,0.2,0.2,0.5087719298245614,0.2,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.4993734335839599,0.49185463659147877,0.5106516290726817,0.5015664160401002,0.5092948717948719,0.5009765625,0.483532814197287,0.0,2,0.0004561813589632143,64,max,128
0,0,0_0,COMPLETED,Sobol,0.487468671679198,0.49364406779661013,0.47538966365873664,0.4641051567239636,0.4496894409937888,0.4738485558157689,0.5347593582887701,0.5053571428571428,0.4725274725274725,0.44,0.4545454545454546,0.5125313283208021,0.4875,0.4779411764705882,0.47959183673469385,0.43956043956043955,0.5277777777777777,0.5272727272727273,0.5272727272727273,0.56,0.525,0.5333333333333332,0.4871553884711779,0.52,0.44999999999999996,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.487468671679198,0.48778195488721804,0.487312030075188,0.48746867167919805,0.4875,0.4886067708333333,0.4850279815205147,0.0,2,0.005537727881833665,32,sum,128
20,20,20_0,COMPLETED,BoTorch,0.48950501253132833,0.49258474576271183,0.47621000820344545,0.46511627906976744,0.45031055900621114,0.4746291959406714,0.536096256684492,0.5053571428571428,0.4725274725274725,0.4461538461538462,0.4507575757575758,0.5125313283208021,0.4875,0.4852941176470589,0.47959183673469385,0.43956043956043955,0.5277777777777777,0.5272727272727273,0.5272727272727273,0.56,0.475,0.5333333333333332,0.487468671679198,0.52,0.39999999999999997,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666667,0.6666666666666667,0.487468671679198,0.487468671679198,0.4868421052631579,0.4868421052631579,0.48717948717948717,0.48795572916666663,0.48693704763469514,0.0,3,0.07302614234335027,16,sum,128
7,7,7_0,COMPLETED,Sobol,0.487468671679198,0.49364406779661013,0.4774405250205086,0.5677451971688574,0.5503105590062112,0.5245901639344263,0.4652406417112299,0.49464285714285716,0.5274725274725275,0.5415384615384615,0.5454545454545454,0.5125313283208021,0.5125000000000001,0.49999999999999994,0.5204081632653061,0.5604395604395604,0.45833333333333337,0.4727272727272727,0.4727272727272727,0.43999999999999995,0.5,0.4666666666666667,0.48778195488721804,0.48,0.55,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.48778195488721804,0.48778195488721804,0.487468671679198,0.4877819548872181,0.48717948717948717,0.4889322916666667,0.5015258227450674,0.12487316069846378,2,0.0020555726219821735,16,sum,128
4,4,4_0,COMPLETED,Sobol,0.487625313283208,0.5049435028248588,0.49712879409351923,0.49949443882709815,0.4894409937888199,0.49882903981264637,0.533422459893048,0.5142857142857143,0.5164835164835164,0.5107692307692308,0.45075757575757575,0.5169172932330828,0.525,0.5441176470588235,0.5,0.47252747252747257,0.4861111111111111,0.4545454545454546,0.4545454545454546,0.48000000000000004,0.475,0.5,0.5178571428571429,0.48,0.35,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.11111111111111112,0.11111111111111112,0.5175438596491229,0.5178571428571429,0.5178571428571429,0.5175438596491229,0.5144230769230769,0.5123697916666667,0.5023769518778392,0.017204693849595908,2,0.05285635217614035,32,mean,128
15,15,15_0,COMPLETED,BoTorch,0.512687969924812,0.49646892655367225,0.5551681706316653,0.5358948432760364,0.5478260869565217,0.5238095238095238,0.46657754010695185,0.49642857142857144,0.5274725274725275,0.5507692307692308,0.5492424242424242,0.5125313283208021,0.51875,0.5073529411764706,0.5204081632653061,0.5494505494505495,0.45833333333333337,0.4727272727272727,0.4727272727272727,0.43999999999999995,0.475,0.43333333333333335,0.5125313283208021,0.44000000000000006,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.48778195488721804,0.48778195488721804,0.487468671679198,0.4877819548872181,0.48685897435897435,0.48990885416666674,0.5072525760936032,0.0,3,0.09548063464477197,16,sum,128
18,18,18_0,COMPLETED,BoTorch,0.5,0.5035310734463276,0.4954881050041017,0.5394337714863499,0.617391304347826,0.5628415300546448,0.5427807486631016,0.4535714285714286,0.3901098901098901,0.3784615384615385,0.3522727272727273,0.5911654135338347,0.3625,0.4338235294117647,0.4285714285714286,0.36263736263736257,0.2638888888888889,0.2363636363636364,0.2,0.16000000000000003,0.175,0.16666666666666666,0.5588972431077694,0.2,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.5877192982456141,0.5545112781954887,0.555451127819549,0.5228696741854637,0.514102564102564,0.5006510416666666,0.5095554879885318,0.020407173188438883,2,0.0001,64,max,128
2,2,2_0,COMPLETED,Sobol,0.4876253132832081,0.5070621468926554,0.5242001640689089,0.5338725985844287,0.5506211180124223,0.526151444184231,0.463903743315508,0.49464285714285716,0.5274725274725275,0.56,0.5492424242424243,0.487468671679198,0.5125000000000001,0.5220588235294117,0.5306122448979591,0.5604395604395604,0.4722222222222222,0.4727272727272727,0.4727272727272727,0.43999999999999995,0.55,0.4666666666666667,0.487468671679198,0.48,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.48793859649122806,0.512218045112782,0.512687969924812,0.5128446115288221,0.5128205128205128,0.51171875,0.5108145127103966,0.25957286145183844,3,0.029596803379450407,16,sum,128
25,25,25_0,COMPLETED,BoTorch,0.5,0.5706214689265537,0.6009023789991796,0.5313447927199191,0.4680124223602485,0.4742388758782201,0.4679144385026738,0.40714285714285714,0.3489010989010989,0.36153846153846153,0.38825757575757575,0.5567042606516291,0.40937500000000004,0.38235294117647056,0.41836734693877553,0.3736263736263736,0.23611111111111108,0.2545454545454545,0.2727272727272727,0.28,0.25,0.30000000000000004,0.5554511278195489,0.24,0.35,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5695488721804511,0.5579573934837093,0.5375939849624061,0.5447994987468672,0.5368589743589743,0.5354817708333333,0.5124432499499968,0.14727977274008058,2,0.003380403462609727,16,max,128
8,8,8_0,COMPLETED,BoTorch,0.5,0.5653248587570622,0.6152584085315832,0.5166835187057633,0.4782608695652174,0.4699453551912568,0.4251336898395722,0.4,0.3983516483516484,0.4184615384615385,0.5189393939393939,0.5541979949874687,0.51875,0.2720588235294118,0.29591836734693877,0.25274725274725274,0.2361111111111111,0.20000000000000004,0.16363636363636366,0.12,0.15000000000000002,0.13333333333333333,0.5720551378446115,0.16,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.5748746867167919,0.5808270676691729,0.5798872180451128,0.5795739348370929,0.5753205128205129,0.5719401041666667,0.518784645752492,0.17873868654566968,3,0.00012264232037761166,64,max,128
11,11,11_0,COMPLETED,BoTorch,0.5,0.46292372881355937,0.43396226415094347,0.48230535894843274,0.5180124223602485,0.5199063231850117,0.5247326203208555,0.6062500000000001,0.6456043956043956,0.6030769230769231,0.6174242424242424,0.5263157894736842,0.6312500000000001,0.5882352941176471,0.5612244897959183,0.5769230769230769,0.5972222222222223,0.6000000000000001,0.6363636363636364,0.6,0.5625,0.5833333333333333,0.518483709273183,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.531015037593985,0.5350877192982456,0.5473057644110276,0.5513784461152882,0.546474358974359,0.5374348958333333,0.5303684794879586,0.16886858188805193,2,0.00025580843367602375,64,max,128
27,27,27_0,COMPLETED,BoTorch,0.5,0.45444915254237284,0.48769483182936835,0.5166835187057633,0.5993788819875776,0.5893832943013271,0.5975935828877006,0.5767857142857143,0.45054945054945056,0.32,0.2765151515151515,0.5905388471177945,0.2875,0.49264705882352944,0.4489795918367347,0.3846153846153846,0.2916666666666667,0.2727272727272727,0.2545454545454545,0.26,0.175,0.13333333333333336,0.6156015037593985,0.12,0.2,0.3333333333333333,0.3333333333333333,0.25,0.4444444444444444,0.4444444444444444,0.6199874686716792,0.6077694235588973,0.606203007518797,0.5927318295739348,0.5753205128205128,0.5963541666666666,0.5352185065152419,0.23022807229533587,3,0.00023977888557515258,16,max,128
12,12,12_0,COMPLETED,BoTorch,0.5,0.548728813559322,0.5295324036095159,0.49747219413549043,0.43540372670807453,0.46370023419203743,0.43983957219251335,0.5535714285714286,0.6401098901098901,0.6246153846153846,0.6401515151515151,0.5172305764411027,0.6375,0.625,0.5816326530612246,0.6043956043956045,0.7291666666666666,0.7545454545454545,0.7818181818181817,0.8000000000000002,0.8,0.8,0.5548245614035088,0.8,0.7000000000000001,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5,0.5555555555555556,0.5551378446115289,0.5410401002506267,0.5285087719298246,0.5291353383458646,0.5166666666666667,0.5110677083333334,0.539950856817899,0.28680162272690257,2,0.00037031373858598294,32,max,128
19,19,19_0,COMPLETED,BoTorch,0.5,0.5589689265536724,0.5988515176374077,0.5525783619817999,0.5111801242236025,0.5152224824355971,0.4799465240641711,0.43214285714285716,0.37362637362637363,0.3507692307692307,0.38257575757575757,0.6751253132832079,0.38749999999999996,0.3970588235294118,0.4387755102040817,0.3956043956043956,0.2638888888888889,0.2545454545454545,0.2181818181818182,0.16000000000000003,0.175,0.16666666666666666,0.637531328320802,0.2,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.6560150375939849,0.6281328320802004,0.6102756892230576,0.5964912280701754,0.5881410256410257,0.5667317708333335,0.5483722063933991,0.0,2,0.00039542743047346623,64,max,128
26,26,26_0,COMPLETED,BoTorch,0.5,0.4894067796610169,0.5012305168170632,0.5182002022244692,0.6031055900621117,0.5878220140515222,0.6310160427807486,0.7053571428571429,0.6620879120879121,0.6215384615384616,0.5871212121212122,0.5802005012531328,0.51875,0.625,0.6326530612244898,0.5274725274725274,0.4722222222222222,0.3454545454545455,0.3272727272727273,0.26,0.15000000000000002,0.2666666666666667,0.5845864661654135,0.2,0.25,0.3333333333333333,0.3333333333333333,0.25,0.33333333333333337,0.33333333333333337,0.5673558897243108,0.5676691729323309,0.5708020050125313,0.5485588972431078,0.5493589743589744,0.5992838541666666,0.5486555120878721,0.2926163772777333,2,0.00023157532725767666,16,max,128
1,1,1_0,COMPLETED,Sobol,0.5,0.600635593220339,0.6070549630844955,0.5293225480283115,0.4888198757763975,0.47540983606557374,0.4772727272727273,0.41607142857142854,0.37637362637362637,0.3938461538461539,0.43181818181818177,0.6666666666666667,0.4625,0.4117647058823529,0.4387755102040817,0.3956043956043956,0.2638888888888889,0.2363636363636364,0.2363636363636364,0.22,0.225,0.23333333333333336,0.6585213032581454,0.2,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.6607142857142858,0.6510025062656642,0.6262531328320802,0.630325814536341,0.5913461538461539,0.5807291666666666,0.5579060259169298,0.017204693849595908,3,0.0007508428155332961,64,max,128
24,24,24_0,COMPLETED,BoTorch,0.5,0.4971751412429378,0.507383100902379,0.512639029322548,0.5956521739130435,0.4820452771272443,0.47994652406417115,0.5839285714285715,0.6703296703296704,0.7476923076923077,0.7140151515151515,0.5582706766917294,0.6375,0.6029411764705883,0.653061224489796,0.5769230769230769,0.6527777777777778,0.6545454545454545,0.5636363636363637,0.6,0.625,0.5833333333333333,0.5485588972431078,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5642230576441103,0.5836466165413534,0.5852130325814536,0.5645363408521302,0.5865384615384615,0.6070963541666667,0.5630530099185989,0.30800249831401294,2,0.0001,16,max,128
10,10,10_0,COMPLETED,BoTorch,0.5,0.573093220338983,0.612797374897457,0.5470171890798787,0.5354037267080745,0.49102263856362216,0.47994652406417115,0.41964285714285715,0.36538461538461536,0.4338461538461539,0.38636363636363635,0.681390977443609,0.4125,0.4411764705882353,0.4489795918367347,0.3956043956043956,0.2638888888888889,0.2545454545454545,0.2181818181818182,0.18,0.175,0.16666666666666666,0.6663533834586466,0.2,0.25,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.4444444444444444,0.4444444444444444,0.6845238095238095,0.680764411027569,0.6610275689223057,0.6190476190476191,0.6182692307692308,0.587890625,0.5672645847503212,0.019447905183716332,2,0.0004867599450918385,64,max,128
21,21,21_0,COMPLETED,BoTorch,0.5,0.6366525423728814,0.6361771944216571,0.5530839231547017,0.4757763975155279,0.468384074941452,0.45454545454545453,0.4,0.3324175824175824,0.37230769230769234,0.3977272727272727,0.6788847117794486,0.4125,0.40441176470588236,0.41836734693877553,0.3846153846153846,0.2638888888888889,0.24545454545454548,0.24545454545454548,0.18,0.225,0.23333333333333336,0.6898496240601503,0.2,0.25,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5,0.5,0.6929824561403508,0.6914160401002507,0.6654135338345865,0.6531954887218046,0.6269230769230769,0.6057942708333334,0.5744232938512883,0.0,3,0.1,16,max,128
3,3,3_0,COMPLETED,Sobol,0.5,0.5886299435028248,0.6300246103363413,0.5293225480283115,0.5322981366459627,0.4262295081967213,0.4786096256684492,0.5892857142857143,0.6565934065934066,0.7015384615384616,0.6666666666666666,0.5645363408521303,0.66875,0.5735294117647058,0.5918367346938775,0.6593406593406593,0.7916666666666667,0.7818181818181817,0.8181818181818182,0.8600000000000001,0.825,0.8333333333333334,0.586779448621554,0.8400000000000001,0.8,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5,0.5,0.5946115288220551,0.5917919799498748,0.5761278195488723,0.5720551378446116,0.5506410256410257,0.5533854166666666,0.579376940447459,0.1223246780223855,2,0.00014041306205462534,64,max,128
