Part Desc;Work Order Qty;Case ID;Activity;Resource;Report Type;Worker ID;Qty Completed;Qty for MRB;activity_duration;Complete Timestamp;weekday;hour;timesincelastevent;timesincecasestart;remtime;event_nr;open_cases
Tube;8;Case 189;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;4500.0;2012-01-02 01:15:00;0;1;0.0;0.0;258300.0;1;1
Cable Head;250;Case 178;Round Grinding - Machine 3;Machine 3 - Round Grinding;D;ID4445;31;0;17400.0;2012-01-02 04:50:00;0;4;0.0;0.0;6207900.0;1;2
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;S;ID4794;0;0;21600.0;2012-01-02 07:00:00;0;7;0.0;0.0;3952800.0;1;3
Cable Head;200;Case 187;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;9000.0;2012-01-02 09:30:00;0;9;0.0;0.0;4808700.0;1;4
Cable Head;250;Case 178;Round Grinding - Machine 2;Machine 2 - Round Grinding;S;ID4355;0;0;3600.0;2012-01-02 11:00:00;0;11;22200.0;22200.0;6185700.0;2;5
Compound Dies;18;Case 263;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID4219;0;0;7200.0;2012-01-02 11:00:00;0;11;0.0;0.0;1778400.0;1;5
Spur Gear;225;Case 254;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID0998;225;0;7200.0;2012-01-02 12:15:00;0;12;0.0;0.0;339000.0;1;6
Punch Holder;350;Case 188;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;1800.0;2012-01-02 12:50:00;0;12;0.0;0.0;3118380.0;1;7
Punch Holder;350;Case 188;Laser Marking - Machine 7;Machine 7- Laser Marking;D;ID0998;144;0;6300.0;2012-01-02 14:00:00;0;14;4200.0;4200.0;3114180.0;2;7
Tube;8;Case 189;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;3600.0;2012-01-02 14:00:00;0;14;45900.0;45900.0;212400.0;2;7
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;S;ID4529;0;0;25200.0;2012-01-02 14:00:00;0;14;25200.0;25200.0;3927600.0;2;7
Punch Holder;350;Case 188;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;9600.0;2012-01-02 16:00:00;0;16;7200.0;11400.0;3106980.0;3;9
Electrical Contact;320;Case 238;Turning & Milling - Machine 4;Machine 4 - Turning & Milling;D;ID4529;10;0;7200.0;2012-01-02 16:00:00;0;16;7200.0;32400.0;3920400.0;3;9
Disc;36;Case 246;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;D;ID4641;10;0;25200.0;2012-01-02 16:00:00;0;16;0.0;0.0;550800.0;1;9
Spur Gear;225;Case 254;Flat Grinding - Machine 11;Machine 11 - Grinding;D;ID0998;100;0;7200.0;2012-01-02 16:00:00;0;16;13500.0;13500.0;325500.0;2;9
Cable Head;3;Case 277;Milling - Machine 16;Machine 16 - Milling;D;ID4326;3;0;30600.0;2012-01-02 16:00:00;0;16;0.0;0.0;595740.0;1;9
Tube;8;Case 189;Turning & Milling Q.C.;Quality Check 1;D;ID4163;0;0;7800.0;2012-01-02 16:10:00;0;16;7800.0;53700.0;204600.0;3;9
Spur Gear;3;Case 274;Turning & Milling - Machine 8;Machine 8 - Turning & Milling;S;ID4219;1;0;20520.0;2012-01-02 16:43:00;0;16;0.0;0.0;202620.0;1;10
Punch Holder;350;Case 188;Lapping - Machine 1;Machine 1 - Lapping;D;ID0998;144;0;3600.0;2012-01-02 17:00:00;0;17;3600.0;15000.0;3103380.0;4;10
Bushing;40;Case 255;Turning - Machine 8;Machine 15 - Turning;D;ID0997;40;0;39600.0;2012-01-02 18:00:00;0;18;0.0;0.0;1148400.0;1;11
Housing;46;Case 153;Round Grinding - Manual;Machine 27 - Grinding;S;ID4528;0;0;3000.0;2012-01-02 19:50:00;0;19;0.0;0.0;277800.0;1;12
Housing;46;Case 153;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;4;0;3300.0;2012-01-02 20:45:00;0;20;3300.0;3300.0;274500.0;2;12
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;S;ID4932;0;0;2040.0;2012-01-02 20:53:00;0;20;0.0;0.0;6667620.0;1;13
Spur Gear;20;Case 236;Round Grinding - Manual;Machine 27 - Grinding;S;ID4528;0;0;2700.0;2012-01-02 21:30:00;0;21;0.0;0.0;271800.0;1;14
Cable Head;150;Case 271;Turning & Milling - Machine 5;Machine 5 - Turning & Milling;S;ID4932;0;0;10800.0;2012-01-02 23:00:00;0;23;7620.0;7620.0;6660000.0;2;14
Disc;36;Case 246;Turning & Milling - Machine 9;Machine 9 - Turning & Milling;D;ID3846;7;0;27600.0;2012-01-02 23:40:00;0;23;27600.0;27600.0;523200.0;2;14
Spur Gear;20;Case 236;Round Grinding - Manual;Machine 27 - Grinding;D;ID4528;0;0;6300.0;2012-01-02 23:45:00;0;23;8100.0;8100.0;263700.0;2;14
Cable Head;17;Case 185;Turning & Milling - Machine 10;Machine 10 - Grinding;D;ID4132;2;0;4500.0;2012-01-03 01:15:00;1;1;0.0;0.0;7543500.0;1;17
Cable Head;180;Case 199;Lapping - Machine 1;Machine 1 - Lapping;D;ID4882;0;0;4500.0;2012-01-03 01:15:00;1;1;0.0;0.0;7551600.0;1;17
