Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime;elapsed
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_480\\complete;560922;False;560922;2010-11-02 19:16:06;0.05;11;1;19;0.0;2546166.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_470\\complete;560922;False;560922;2010-11-02 19:16:03;0.05;11;1;19;3.0;2546163.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_430\\complete;560922;False;560922;2010-11-02 19:16:00;0.1;11;1;19;6.0;2546160.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_380\\complete;560922;False;560922;2010-11-02 19:15:54;0.06666666666669999;11;1;19;12.0;2546154.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_370\\complete;560922;EMPTY;560922;2010-11-02 19:15:50;0.0166666666667;11;1;19;16.0;2546150.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09_AH_I_010\\complete;560922;False;560922;2010-11-02 19:15:49;0.06666666666669999;11;1;19;17.0;2546149.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_270\\complete;560922;False;560922;2010-11-02 19:15:45;0.08333333333330001;11;1;19;21.0;2546145.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_260\\complete;560922;EMPTY;560922;2010-11-02 19:15:40;0.0;11;1;19;26.0;2546140.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;other;560922;EMPTY;560922;2010-11-02 19:15:40;0.0166666666667;11;1;19;26.0;2546140.0
560922;0.0;3004646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_250\\complete;560922;EMPTY;560922;2010-11-02 19:15:39;0.0333333333333;11;1;19;27.0;2546139.0
