Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime;elapsed
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_530\\complete;560849;EMPTY;560821;2010-12-23 09:00:00;13410.35;12;3;9;0.0;6138000.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_520\\complete;560849;EMPTY;560821;2010-12-14 01:29:39;989.65;12;1;1;804621.0;5333379.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_2\\complete;560849;EMPTY;560821;2010-12-13 09:00:00;13765.933333300001;12;0;9;864000.0;5274000.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_1\\complete;560849;EMPTY;560821;2010-12-03 19:34:04;0.8833333333329999;12;4;19;1689956.0;4448044.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_500\\complete;560849;28;560821;2010-12-03 19:33:11;0.46666666666699996;12;4;19;1690009.0;4447991.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_2\\complete;560849;EMPTY;560821;2010-12-03 19:32:43;0.21666666666700002;12;4;19;1690037.0;4447963.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;06_VD_010\\complete;560849;False;560821;2010-12-03 19:32:30;0.0;12;4;19;1690050.0;4447950.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_1\\complete;560849;EMPTY;560821;2010-12-03 19:32:30;0.1;12;4;19;1690050.0;4447950.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;05_EIND_010\\complete;560849;False;560821;2010-12-03 19:32:24;3.91666666667;12;4;19;1690056.0;4447944.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_480\\complete;560849;False;560821;2010-12-03 19:28:29;0.08333333333330001;12;4;19;1690291.0;4447709.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_470\\complete;560849;False;560821;2010-12-03 19:28:24;0.1;12;4;19;1690296.0;4447704.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_430\\complete;560849;False;560821;2010-12-03 19:28:18;0.3;12;4;19;1690302.0;4447698.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_380\\complete;560849;False;560821;2010-12-03 19:28:00;0.1;12;4;19;1690320.0;4447680.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_370\\complete;560849;EMPTY;560821;2010-12-03 19:27:54;0.06666666666669999;12;4;19;1690326.0;4447674.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;09_AH_I_010\\complete;560849;False;560821;2010-12-03 19:27:50;0.2;12;4;19;1690330.0;4447670.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_270\\complete;560849;False;560821;2010-12-03 19:27:38;0.166666666667;12;4;19;1690342.0;4447658.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;other;560849;EMPTY;560821;2010-12-03 19:27:28;0.0;12;4;19;1690352.0;4447648.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_260\\complete;560849;EMPTY;560821;2010-12-03 19:27:28;0.0333333333333;12;4;19;1690352.0;4447648.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_250\\complete;560849;EMPTY;560821;2010-12-03 19:27:26;0.25;12;4;19;1690354.0;4447646.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_205\\complete;560849;EMPTY;560821;2010-12-03 19:27:11;0.0166666666667;12;4;19;1690369.0;4447631.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_200\\complete;560849;True;560821;2010-12-03 19:27:10;0.1;12;4;19;1690370.0;4447630.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;other;560849;False;560821;2010-12-03 19:27:04;0.166666666667;12;4;19;1690376.0;4447624.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_130\\complete;560849;False;560821;2010-12-03 19:26:54;0.133333333333;12;4;19;1690386.0;4447614.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_120\\complete;560849;EMPTY;560821;2010-12-03 19:26:46;0.15;12;4;19;1690394.0;4447606.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_110\\complete;560849;EMPTY;560821;2010-12-03 19:26:37;626.616666667;12;4;19;1690403.0;4447597.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_3\\complete;560849;EMPTY;560821;2010-12-03 09:00:00;51900.0;12;4;9;1728000.0;4410000.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100\\complete;560849;EMPTY;560752;2010-10-28 08:00:00;13739.416666699999;10;3;8;4842000.0;1296000.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100\\complete;560849;EMPTY;560752;2010-10-18 19:00:35;4980.58333333;10;0;19;5666365.0;471635.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2\\complete;560849;EMPTY;560752;2010-10-15 08:00:00;575.333333333;10;4;8;5965200.0;172800.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1\\complete;560849;EMPTY;560752;2010-10-14 22:24:40;0.05;10;3;22;5999720.0;138280.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060\\complete;560849;True;560752;2010-10-14 22:24:37;0.133333333333;10;3;22;5999723.0;138277.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;other;560849;False;560752;2010-10-14 22:24:29;0.06666666666669999;10;3;22;5999731.0;138269.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_050\\complete;560849;True;560752;2010-10-14 22:24:25;0.06666666666669999;10;3;22;5999735.0;138265.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040\\complete;560849;False;560752;2010-10-14 22:24:21;0.06666666666669999;10;3;22;5999739.0;138261.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020\\complete;560849;True;560752;2010-10-14 22:24:17;0.08333333333330001;10;3;22;5999743.0;138257.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015\\complete;560849;EMPTY;560752;2010-10-14 22:24:12;2304.2;10;3;22;5999748.0;138252.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010\\complete;560849;other;560752;2010-10-13 08:00:00;0.0;10;2;8;6138000.0;0.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;other;560852;False;560752;2011-07-22 17:04:16;0.18333333333299998;7;4;17;0.0;23965456.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_070\\complete;560852;EMPTY;560752;2011-07-22 17:04:05;0.0;7;4;17;11.0;23965445.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;other;560852;EMPTY;560752;2011-07-22 17:04:05;0.06666666666669999;7;4;17;11.0;23965445.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130\\complete;560852;False;560752;2011-07-22 17:04:01;0.05;7;4;17;15.0;23965441.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_120\\complete;560852;EMPTY;560752;2011-07-22 17:03:58;0.05;7;4;17;18.0;23965438.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_110\\complete;560852;EMPTY;560752;2011-07-22 17:03:55;0.0333333333333;7;4;17;21.0;23965435.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;06_VD_010\\complete;560852;False;560752;2011-07-22 17:03:53;0.33333333333299997;7;4;17;23.0;23965433.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_040\\complete;560852;EMPTY;560752;2011-07-22 17:03:33;0.18333333333299998;7;4;17;43.0;23965413.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_030_1\\complete;560852;EMPTY;560752;2011-07-22 17:03:22;0.15;7;4;17;54.0;23965402.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_010\\complete;560852;True;560752;2011-07-22 17:03:13;385023.21666700003;7;4;17;63.0;23965393.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100\\complete;560852;EMPTY;560781;2010-10-28 08:00:00;4320.0;10;3;8;23101456.0;864000.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_020\\complete;560852;other;560752;2010-10-25 08:00:00;6479.56666667;10;0;8;23360656.0;604800.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_050\\complete;560852;EMPTY;560752;2010-10-25 08:00:00;0.0;10;0;8;23360656.0;604800.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_030_2\\complete;560852;EMPTY;560752;2010-10-25 08:00:00;0.0;10;0;8;23360656.0;604800.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100\\complete;560852;EMPTY;560781;2010-10-20 20:00:26;13.1;10;2;20;23749430.0;216026.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1\\complete;560781;EMPTY;560781;2010-10-20 19:47:20;8.98333333333;10;2;19;23750216.0;215240.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060\\complete;560781;True;560781;2010-10-20 19:38:21;0.383333333333;10;2;19;23750755.0;214701.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;other;560781;False;560781;2010-10-20 19:37:58;0.1;10;2;19;23750778.0;214678.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050\\complete;560781;True;560781;2010-10-20 19:37:52;0.116666666667;10;2;19;23750784.0;214672.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040\\complete;560781;False;560781;2010-10-20 19:37:45;3.05;10;2;19;23750791.0;214665.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1\\complete;560781;EMPTY;560781;2010-10-20 19:34:42;2.85;10;2;19;23750974.0;214482.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020\\complete;560781;False;560781;2010-10-20 19:31:51;0.133333333333;10;2;19;23751145.0;214311.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015\\complete;560852;EMPTY;560781;2010-10-20 19:31:43;691.7166666669999;10;2;19;23751153.0;214303.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2\\complete;560781;EMPTY;560781;2010-10-20 08:00:00;0.0;10;2;8;23792656.0;172800.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2\\complete;560852;EMPTY;560781;2010-10-20 08:00:00;2880.0;10;2;8;23792656.0;172800.0
560852;0.0;4241127;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010\\complete;560781;other;560781;2010-10-18 08:00:00;0.0;10;0;8;23965456.0;0.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_530\\complete;560812;EMPTY;560752;2010-12-08 09:00:00;730.483333333;12;2;9;0.0;4323600.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_520\\complete;560812;EMPTY;560752;2010-12-07 20:49:31;0.2;12;1;20;43829.0;4279771.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_510_1\\complete;560812;EMPTY;560752;2010-12-07 20:49:19;0.05;12;1;20;43841.0;4279759.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_500\\complete;560812;42;560752;2010-12-07 20:49:16;0.516666666667;12;1;20;43844.0;4279756.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_490_2\\complete;560812;EMPTY;560752;2010-12-07 20:48:45;0.05;12;1;20;43875.0;4279725.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_490_1\\complete;560812;EMPTY;560752;2010-12-07 20:48:42;0.0;12;1;20;43878.0;4279722.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_480\\complete;560812;False;560752;2010-12-07 20:48:42;0.05;12;1;20;43878.0;4279722.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_470\\complete;560812;False;560752;2010-12-07 20:48:39;0.06666666666669999;12;1;20;43881.0;4279719.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_430\\complete;560812;False;560752;2010-12-07 20:48:35;0.08333333333330001;12;1;20;43885.0;4279715.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_380\\complete;560812;False;560752;2010-12-07 20:48:30;0.06666666666669999;12;1;20;43890.0;4279710.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_370\\complete;560812;EMPTY;560752;2010-12-07 20:48:26;0.0;12;1;20;43894.0;4279706.0
560812;0.0;4248179;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_375\\complete;560812;EMPTY;560752;2010-12-07 20:48:26;0.0333333333333;12;1;20;43894.0;4279706.0
