Case ID;Activity;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincecasestart;open_cases;remtime
1;Requirements_review;12.0833333333;2014-04-02 14:29:46;869;4;2;14;388.966666667;67;0.0
1;Credit_committee;42.1;2014-04-02 14:17:41;857;4;2;14;376.883333333;64;725.0
1;Collateral_check;55.4833333333;2014-04-02 13:35:35;815;4;2;13;334.783333333;61;3251.0
1;Credit_worthiness_check;95.0333333333;2014-04-02 12:40:06;760;4;2;12;279.3;49;6580.0
1;Completeness_check;77.2666666667;2014-04-02 11:05:04;665;4;2;11;184.266666667;39;12282.0
1;Collection_of_documents;89.0833333333;2014-04-02 09:47:48;587;4;2;9;107.0;21;16918.0
1;Acceptance_of_requests;17.9166666667;2014-04-02 08:18:43;498;4;2;8;17.9166666667;6;22263.0
1;Register;0.0;2014-04-02 08:00:48;480;4;2;8;0.0;1;23338.0
2;Requirements_review;9.61666666667;2014-04-02 13:43:10;823;4;2;13;341.633333333;61;0.0
2;Credit_committee;38.2333333333;2014-04-02 13:33:33;813;4;2;13;332.016666667;61;577.0
2;Collateral_check;60.1666666667;2014-04-02 12:55:19;775;4;2;12;293.783333333;54;2871.0
2;Credit_worthiness_check;94.85;2014-04-02 11:55:09;715;4;2;11;233.616666667;43;6481.0
2;Completeness_check;73.25;2014-04-02 10:20:18;620;4;2;10;138.766666667;30;12172.0
2;Collection_of_documents;50.9333333333;2014-04-02 09:07:03;547;4;2;9;65.5166666667;14;16567.0
2;Acceptance_of_requests;14.5833333333;2014-04-02 08:16:07;496;4;2;8;14.5833333333;5;19623.0
2;Register;0.0;2014-04-02 08:01:32;481;4;2;8;0.0;2;20498.0
3;Requirements_review;5.28333333333;2014-04-02 13:15:46;795;4;2;13;308.483333333;59;0.0
3;Credit_committee;45.1833333333;2014-04-02 13:10:29;790;4;2;13;303.2;58;317.0
3;Collateral_check;29.55;2014-04-02 12:25:18;745;4;2;12;258.016666667;47;3028.0
3;Credit_worthiness_check;90.7833333333;2014-04-02 11:55:45;715;4;2;11;228.466666667;43;4801.0
3;Completeness_check;48.2333333333;2014-04-02 10:24:58;624;4;2;10;137.683333333;30;10248.0
3;Collection_of_documents;69.8166666667;2014-04-02 09:36:44;576;4;2;9;89.45;21;13142.0
3;Acceptance_of_requests;19.6333333333;2014-04-02 08:26:55;506;4;2;8;19.6333333333;7;17331.0
3;Register;0.0;2014-04-02 08:07:17;487;4;2;8;0.0;3;18509.0
4;Requirements_review;13.8666666667;2014-04-02 13:48:00;828;4;2;13;339.5;60;0.0
4;Credit_committee;29.5333333333;2014-04-02 13:34:08;814;4;2;13;325.633333333;61;832.0
4;Collateral_check;60.7;2014-04-02 13:04:36;784;4;2;13;296.1;57;2604.0
4;Credit_worthiness_check;78.6666666667;2014-04-02 12:03:54;723;4;2;12;235.4;44;6246.0
4;Completeness_check;88.3666666667;2014-04-02 10:45:14;645;4;2;10;156.733333333;32;10966.0
4;Collection_of_documents;49.85;2014-04-02 09:16:52;556;4;2;9;68.3666666667;16;16268.0
4;Acceptance_of_requests;18.5166666667;2014-04-02 08:27:01;507;4;2;8;18.5166666667;7;19259.0
4;Register;0.0;2014-04-02 08:08:30;488;4;2;8;0.0;4;20370.0
5;Requirements_review;7.51666666667;2014-04-02 14:09:47;849;4;2;14;355.366666667;62;0.0
5;Credit_committee;30.6833333333;2014-04-02 14:02:16;842;4;2;14;347.85;60;451.0
5;Collateral_check;26.9166666667;2014-04-02 13:31:35;811;4;2;13;317.166666667;60;2292.0
5;Credit_worthiness_check;82.15;2014-04-02 13:04:40;784;4;2;13;290.25;57;3907.0
5;Completeness_check;77.4666666667;2014-04-02 11:42:31;702;4;2;11;208.1;43;8836.0
5;Collection_of_documents;119.016666667;2014-04-02 10:25:03;625;4;2;10;130.633333333;30;13484.0
5;Acceptance_of_requests;11.6166666667;2014-04-02 08:26:02;506;4;2;8;11.6166666667;7;20625.0
5;Register;0.0;2014-04-02 08:14:25;494;4;2;8;0.0;5;21322.0
6;Requirements_review;11.35;2014-04-02 13:16:58;796;4;2;13;300.316666667;58;0.0
6;Credit_committee;32.6666666667;2014-04-02 13:05:37;785;4;2;13;288.966666667;58;681.0
6;Collateral_check;21.4666666667;2014-04-02 12:32:57;752;4;2;12;256.3;47;2641.0
6;Credit_worthiness_check;82.8333333333;2014-04-02 12:11:29;731;4;2;12;234.833333333;46;3929.0
6;Completeness_check;57.1333333333;2014-04-02 10:48:39;648;4;2;10;152.0;32;8899.0
6;Collection_of_documents;82.0833333333;2014-04-02 09:51:31;591;4;2;9;94.8666666667;22;12327.0
6;Acceptance_of_requests;12.7833333333;2014-04-02 08:29:26;509;4;2;8;12.7833333333;8;17252.0
6;Register;0.0;2014-04-02 08:16:39;496;4;2;8;0.0;6;18019.0
7;Requirements_review;6.51666666667;2014-04-02 14:23:50;863;4;2;14;364.033333333;65;0.0
7;Credit_committee;63.5333333333;2014-04-02 14:17:19;857;4;2;14;357.516666667;64;391.0
7;Collateral_check;60.4333333333;2014-04-02 13:13:47;793;4;2;13;293.983333333;60;4203.0
7;Credit_worthiness_check;88.15;2014-04-02 12:13:21;733;4;2;12;233.55;46;7829.0
7;Completeness_check;57.7333333333;2014-04-02 10:45:12;645;4;2;10;145.4;32;13118.0
7;Collection_of_documents;78.15;2014-04-02 09:47:28;587;4;2;9;87.6666666667;21;16582.0
7;Acceptance_of_requests;9.51666666667;2014-04-02 08:29:19;509;4;2;8;9.51666666667;8;21271.0
7;Register;0.0;2014-04-02 08:19:48;499;4;2;8;0.0;7;21842.0
8;Requirements_review;11.5833333333;2014-04-02 13:57:17;837;4;2;13;328.866666667;60;0.0
8;Credit_committee;39.6666666667;2014-04-02 13:45:42;825;4;2;13;317.283333333;61;695.0
8;Collateral_check;65.1166666667;2014-04-02 13:06:02;786;4;2;13;277.616666667;58;3075.0
8;Credit_worthiness_check;78.2666666667;2014-04-02 12:00:55;720;4;2;12;212.5;43;6982.0
8;Completeness_check;53.5833333333;2014-04-02 10:42:39;642;4;2;10;134.233333333;32;11678.0
8;Collection_of_documents;65.4166666667;2014-04-02 09:49:04;589;4;2;9;80.65;22;14893.0
8;Acceptance_of_requests;15.2333333333;2014-04-02 08:43:39;523;4;2;8;15.2333333333;10;18818.0
8;Register;0.0;2014-04-02 08:28:25;508;4;2;8;0.0;8;19732.0
9;Requirements_review;11.2333333333;2014-04-02 14:42:37;882;4;2;14;367.633333333;67;0.0
9;Credit_committee;41.0166666667;2014-04-02 14:31:23;871;4;2;14;356.4;67;674.0
9;Collateral_check;52.1;2014-04-02 13:50:22;830;4;2;13;315.383333333;60;3135.0
9;Credit_worthiness_check;88.0833333333;2014-04-02 12:58:16;778;4;2;12;263.283333333;55;6261.0
9;Completeness_check;54.7833333333;2014-04-02 11:30:11;690;4;2;11;175.2;43;11546.0
9;Collection_of_documents;105.0;2014-04-02 10:35:24;635;4;2;10;120.416666667;32;14833.0
9;Acceptance_of_requests;15.4166666667;2014-04-02 08:50:24;530;4;2;8;15.4166666667;10;21133.0
9;Register;0.0;2014-04-02 08:34:59;514;4;2;8;0.0;9;22058.0
10;Requirements_review;7.13333333333;2014-04-02 13:28:55;808;4;2;13;288.433333333;60;0.0
10;Credit_committee;59.5;2014-04-02 13:21:47;801;4;2;13;281.3;59;428.0
10;Collateral_check;43.9333333333;2014-04-02 12:22:17;742;4;2;12;221.8;47;3998.0
10;Credit_worthiness_check;72.4333333333;2014-04-02 11:38:21;698;4;2;11;177.866666667;43;6634.0
10;Completeness_check;57.9666666667;2014-04-02 10:25:55;625;4;2;10;105.433333333;30;10980.0
10;Collection_of_documents;38.1;2014-04-02 09:27:57;567;4;2;9;47.4666666667;19;14458.0
10;Acceptance_of_requests;9.36666666667;2014-04-02 08:49:51;529;4;2;8;9.36666666667;10;16744.0
10;Register;0.0;2014-04-02 08:40:29;520;4;2;8;0.0;10;17306.0
11;Requirements_review;12.4;2014-04-02 14:34:26;874;4;2;14;332.533333333;66;0.0
