Case ID;Resource;customer;org.resource;product;responsible_section;seriousness;service_level;service_type;support_section;workgroup;Complete Timestamp;remtime;elapsed;Activity;open_cases
2;Value4;Value2;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-03 07:55:38;174014;0;Asss;29
2;Value4;Value2;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-03 07:55:53;173999;15;Tict;29
2;Value4;Value2;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2012-04-05 08:15:52;0;174014;Rslt;31
3;Value6;Value3;Value6;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-10-29 09:14:06;457631;0;Asss;23
3;Value7;Value3;Value7;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-11-03 15:16:11;306;457325;Tict;22
3;Value7;Value3;Value7;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-11-03 15:21:17;0;457631;Rslt;21
4;Value8;Value4;Value8;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-15 13:31:53;63386;0;Asss;26
4;Value2;Value4;Value2;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-16 07:01:07;432;62954;Tict;24
4;Value2;Value4;Value2;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-12-16 07:08:19;0;63386;Rslt;23
6;Value2;Value6;Value2;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-10-25 14:13:58;67248;0;Asss;29
6;Value2;Value6;Value2;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-10-25 14:58:55;64551;2697;Tict;29
6;Value2;Value6;Value2;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-10-26 08:54:46;0;67248;Rslt;28
8;Value1;Value8;Value1;Value3;Value1;Value2;Value2;Value2;Value1;Value2;2012-07-05 07:30:32;4454;0;Asss;26
8;Value6;Value8;Value6;Value3;Value1;Value2;Value2;Value2;Value1;Value2;2012-07-05 08:25:45;1141;3313;Tict;27
8;Value6;Value8;Value6;Value3;Value1;Value2;Value2;Value2;Value1;Value2;2012-07-05 08:44:46;0;4454;Rslt;25
9;Value12;Value9;Value12;Value3;Value1;Value3;Value4;Value1;Value1;Value1;2010-05-07 12:02:21;1564403;0;Inst;32
9;Value12;Value9;Value12;Value3;Value1;Value2;Value4;Value1;Value1;Value1;2010-05-07 12:02:34;1564390;13;Asss;32
9;Value6;Value9;Value6;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-05-24 09:26:28;104956;1459447;Tict;19
9;Value12;Value9;Value12;Value3;Value1;Value2;Value2;Value1;Value1;Value1;2010-05-25 14:35:44;0;1564403;Rslt;18
10;Value2;Value10;Value2;Value3;Value2;Value1;Value3;Value1;Value2;Value3;2010-02-10 07:50:20;3196613;0;Asss;18
10;Value2;Value10;Value2;Value3;Value2;Value1;Value3;Value1;Value2;Value3;2010-03-19 07:47:06;7;3196606;Tict;16
10;Value2;Value10;Value2;Value3;Value2;Value1;Value3;Value1;Value2;Value3;2010-03-19 07:47:13;0;3196613;Rslt;15
11;Value4;Value11;Value4;Value2;Value1;Value1;Value2;Value1;Value1;Value1;2011-12-21 14:24:41;66662;0;Asss;30
