Resource,lifecycle:transition,timesincemidnight,timesincelastevent,timesincecasestart,event_nr,month,weekday,hour,open_cases,time:timestamp,Activity,case:AMOUNT_REQ,CaseID,case:label,remaining_time
0.0,SCHEDULE,941.0,6.1135166666666665,24061.486816666667,46.0,11.0,4.0,15.0,758.0,1321630900.707,wwijzigencontractgegevensschedule,25000.0,181447,False,1238.5569999217987
0.0,SCHEDULE,942.0,0.7419166666666667,24062.228733333333,47.0,11.0,4.0,15.0,758.0,1321630945.222,wwijzigencontractgegevensschedule,25000.0,181447,False,1194.042000055313
0.0,START,899.0,11766.656216666666,12505.183216666666,13.0,11.0,3.0,14.0,737.0,1321541962.469,wnabellenoffertesstart,5000.0,183277,False,1831084.3009998798
0.0,COMPLETE,435.0,975.7231666666668,13480.906383333331,14.0,11.0,4.0,7.0,788.0,1321600505.859,wnabellenoffertescomplete,5000.0,183277,False,1772540.9110000134
0.0,START,570.0,15.111433333333334,61129.46333333333,29.0,12.0,2.0,9.0,646.0,1324459808.082,wvaliderenaanvraagstart,12850.0,183280,False,518878.254999876
0.0,COMPLETE,570.0,0.1390166666666666,61129.60235,30.0,12.0,2.0,9.0,646.0,1324459816.423,wvaliderenaanvraagcomplete,12850.0,183280,False,518869.9139997959
0.0,START,894.0,3135.9115,3153.6918,27.0,11.0,3.0,14.0,737.0,1321541694.735,wnabellenincompletedossiersstart,15000.0,185449,False,345418.09700012207
0.0,COMPLETE,435.0,980.1855833333332,4133.8773833333335,28.0,11.0,4.0,7.0,788.0,1321600505.87,wnabellenincompletedossierscomplete,15000.0,185449,False,286606.9620001316
0.0,START,795.0,4680.350466666667,8814.22785,29.0,11.0,0.0,13.0,765.0,1321881326.898,wnabellenincompletedossiersstart,15000.0,185449,False,5785.934000015259
0.0,SCHEDULE,797.0,2.0399333333333334,8816.267783333333,30.0,11.0,0.0,13.0,765.0,1321881449.294,wvaliderenaanvraagschedule,15000.0,185449,False,5663.5380001068115
0.0,COMPLETE,797.0,0.03605,8816.303833333333,31.0,11.0,0.0,13.0,765.0,1321881451.457,wnabellenincompletedossierscomplete,15000.0,185449,False,5661.375
0.0,START,1003.0,3.1832666666666665,18373.123466666668,40.0,12.0,1.0,16.0,676.0,1323794627.989,wvaliderenaanvraagstart,17000.0,190288,False,64105.59599995613
0.0,COMPLETE,1004.0,0.81645,18373.939916666663,41.0,12.0,1.0,16.0,676.0,1323794676.976,wvaliderenaanvraagcomplete,17000.0,190288,False,64056.608999967575
0.0,START,1005.0,1.0801666666666667,18375.020083333333,42.0,12.0,1.0,16.0,676.0,1323794741.786,wvaliderenaanvraagstart,17000.0,190288,False,63991.799000024796
0.0,COMPLETE,1007.0,1.4158333333333333,18376.435916666665,43.0,12.0,1.0,16.0,677.0,1323794826.736,wvaliderenaanvraagcomplete,17000.0,190288,False,63906.84899997711
11259.0,START,992.0,284.03538333333336,81902.00703333333,107.0,11.0,0.0,16.0,688.0,1322497921.998,wnabellenincompletedossiersstart,33000.0,173928,False,64531.90400004387
11259.0,SCHEDULE,993.0,1.07225,81903.07928333334,108.0,11.0,0.0,16.0,688.0,1322497986.333,wvaliderenaanvraagschedule,33000.0,173928,False,64467.56900000572
11259.0,COMPLETE,993.0,0.05705,81903.13633333333,109.0,11.0,0.0,16.0,688.0,1322497989.756,wnabellenincompletedossierscomplete,33000.0,173928,False,64464.14599990845
11259.0,START,661.0,1365.7748666666666,71353.93813333333,62.0,11.0,2.0,11.0,736.0,1322046086.774,wnabellenoffertesstart,14000.0,174511,False,189406.9120001793
11259.0,COMPLETE,661.0,0.1911166666666666,71354.12925,63.0,11.0,2.0,11.0,735.0,1322046098.241,osentbackcomplete,14000.0,174511,False,189395.44500017166
11259.0,SCHEDULE,661.0,0.0057166666666666,71354.13496666666,64.0,11.0,2.0,11.0,735.0,1322046098.584,wvaliderenaanvraagschedule,14000.0,174511,False,189395.1019999981
11259.0,COMPLETE,661.0,0.0315666666666666,71354.16653333334,65.0,11.0,2.0,11.0,735.0,1322046100.478,wnabellenoffertescomplete,14000.0,174511,False,189393.2080001831
11259.0,START,657.0,1076.1070166666666,40053.93853333333,33.0,11.0,2.0,10.0,684.0,1320231437.342,wnabellenoffertesstart,25000.0,174749,False,194510.37599992752
11259.0,COMPLETE,661.0,4.538266666666667,40058.4768,34.0,11.0,2.0,11.0,682.0,1320231709.638,osentbackcomplete,25000.0,174749,False,194238.0799999237
11259.0,SCHEDULE,661.0,0.0031166666666666,40058.47991666666,35.0,11.0,2.0,11.0,682.0,1320231709.825,wvaliderenaanvraagschedule,25000.0,174749,False,194237.89299988747
11259.0,COMPLETE,661.0,0.0205666666666666,40058.50048333334,36.0,11.0,2.0,11.0,682.0,1320231711.059,wnabellenoffertescomplete,25000.0,174749,False,194236.6589999199
11259.0,START,763.0,10120.036333333332,55373.0246,39.0,11.0,2.0,12.0,723.0,1321447408.66,wnabellenoffertesstart,45000.0,175651,True,525718.1819999218
11259.0,COMPLETE,763.0,0.2420333333333333,55373.26663333333,40.0,11.0,2.0,12.0,723.0,1321447423.182,osentbackcomplete,45000.0,175651,True,525703.6600000858
11259.0,SCHEDULE,763.0,0.0025333333333333,55373.269166666665,41.0,11.0,2.0,12.0,723.0,1321447423.334,wvaliderenaanvraagschedule,45000.0,175651,True,525703.507999897
11259.0,COMPLETE,763.0,0.0202333333333333,55373.2894,42.0,11.0,2.0,12.0,723.0,1321447424.548,wnabellenoffertescomplete,45000.0,175651,True,525702.2939999104
11259.0,START,821.0,2759.04125,43272.7293,61.0,11.0,2.0,13.0,710.0,1320846060.227,wnabellenincompletedossiersstart,39000.0,175892,False,687.2109999656677
11259.0,COMPLETE,822.0,1.243083333333333,43273.97238333333,62.0,11.0,2.0,13.0,710.0,1320846134.812,osentbackcomplete,39000.0,175892,False,612.6259999275208
11259.0,SCHEDULE,822.0,0.00475,43273.97713333333,63.0,11.0,2.0,13.0,710.0,1320846135.097,wvaliderenaanvraagschedule,39000.0,175892,False,612.3410000801086
11259.0,COMPLETE,822.0,0.0399666666666666,43274.0171,64.0,11.0,2.0,13.0,710.0,1320846137.495,wnabellenincompletedossierscomplete,39000.0,175892,False,609.9430000782013
11259.0,START,1080.0,6020.67625,40760.57278333334,29.0,11.0,2.0,18.0,709.0,1320861601.003,wnabellenoffertesstart,15000.0,176374,False,170152.96399998665
11259.0,COMPLETE,1080.0,0.3221333333333333,40760.89491666666,30.0,11.0,2.0,18.0,709.0,1320861620.331,osentbackcomplete,15000.0,176374,False,170133.63599991798
11259.0,SCHEDULE,1080.0,0.0059333333333333,40760.90085,31.0,11.0,2.0,18.0,709.0,1320861620.687,wvaliderenaanvraagschedule,15000.0,176374,False,170133.2799999714
11259.0,COMPLETE,1080.0,0.0214333333333333,40760.92228333333,32.0,11.0,2.0,18.0,709.0,1320861621.973,wnabellenoffertescomplete,15000.0,176374,False,170131.99399995804
11259.0,START,876.0,2917.2185833333333,82290.93493333334,66.0,12.0,3.0,14.0,681.0,1323355004.248,wnabellenincompletedossiersstart,8250.0,176380,False,1891850.7350001335
11259.0,COMPLETE,878.0,2.07505,82293.00998333334,67.0,12.0,3.0,14.0,680.0,1323355128.751,wnabellenincompletedossierscomplete,8250.0,176380,False,1891726.2320001125
11259.0,START,1092.0,307.03681666666665,40233.35346666667,53.0,11.0,2.0,18.0,710.0,1320862360.897,wnabellenoffertesstart,8000.0,176533,True,165182.0379998684
11259.0,COMPLETE,1092.0,0.3086333333333333,40233.6621,54.0,11.0,2.0,18.0,710.0,1320862379.415,osentbackcomplete,8000.0,176533,True,165163.51999998093
11259.0,SCHEDULE,1092.0,0.0046666666666666,40233.66676666667,55.0,11.0,2.0,18.0,710.0,1320862379.695,wvaliderenaanvraagschedule,8000.0,176533,True,165163.24000000954
11259.0,COMPLETE,1093.0,0.022,40233.688766666666,56.0,11.0,2.0,18.0,710.0,1320862381.015,wnabellenoffertescomplete,8000.0,176533,True,165161.91999983788
11259.0,START,1082.0,16122.58045,35982.09638333333,32.0,11.0,2.0,18.0,709.0,1320861742.501,wnabellenoffertesstart,10250.0,177194,False,158147.46099996567
11259.0,COMPLETE,1082.0,0.4682166666666666,35982.5646,33.0,11.0,2.0,18.0,709.0,1320861770.594,osentbackcomplete,10250.0,177194,False,158119.3679997921
11259.0,SCHEDULE,1082.0,0.0048833333333333,35982.56948333333,34.0,11.0,2.0,18.0,709.0,1320861770.887,wvaliderenaanvraagschedule,10250.0,177194,False,158119.07499980927
11259.0,COMPLETE,1082.0,0.0335833333333333,35982.60306666667,35.0,11.0,2.0,18.0,709.0,1320861772.902,wnabellenoffertescomplete,10250.0,177194,False,158117.05999994278
11259.0,START,799.0,12757.487683333333,41359.58496666667,35.0,11.0,0.0,13.0,758.0,1321276756.243,wnabellenoffertesstart,5000.0,177329,False,92235.01200008392
11259.0,COMPLETE,799.0,0.1810333333333333,41359.766,36.0,11.0,0.0,13.0,758.0,1321276767.105,osentbackcomplete,5000.0,177329,False,92224.15000009537
11259.0,SCHEDULE,799.0,0.0024,41359.7684,37.0,11.0,0.0,13.0,758.0,1321276767.249,wvaliderenaanvraagschedule,5000.0,177329,False,92224.00600004196
11259.0,COMPLETE,799.0,0.0203333333333333,41359.788733333335,38.0,11.0,0.0,13.0,758.0,1321276768.469,wnabellenoffertescomplete,5000.0,177329,False,92222.78600001335
11259.0,START,711.0,3768.348583333333,33929.267,33.0,11.0,3.0,11.0,727.0,1320925902.744,wnabellenoffertesstart,5000.0,177663,False,361366.6019999981
11259.0,COMPLETE,711.0,0.1473,33929.4143,34.0,11.0,3.0,11.0,727.0,1320925911.582,osentbackcomplete,5000.0,177663,False,361357.76399993896
11259.0,SCHEDULE,711.0,0.00445,33929.41875,35.0,11.0,3.0,11.0,727.0,1320925911.849,wvaliderenaanvraagschedule,5000.0,177663,False,361357.496999979
11259.0,COMPLETE,711.0,0.0305333333333333,33929.449283333335,36.0,11.0,3.0,11.0,727.0,1320925913.681,wnabellenoffertescomplete,5000.0,177663,False,361355.66499996185
