,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,lr,batch_size,aggregation,hid,layers
1,1,1_0,COMPLETED,Sobol,349398.8125,0.042124781905866535,128,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,355904.53125,0.06163173421214773,256,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,363474.46875,0.1,128,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,373291.875,0.059657409248001884,128,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,378565.15625,0.1,512,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,379337.25,0.1,256,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,379402.3125,0.1,128,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,379804.84375,0.03170572865132815,512,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,384569.28125,0.06889337581121067,128,max,128,2
7,7,7_0,COMPLETED,BO_MIXED,385664.625,0.020141121674811722,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,407495.46875,0.013215494743445832,128,mean,128,2
4,4,4_0,COMPLETED,Sobol,449217.59375,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,498137.125,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,593756.0,0.0007632231810882134,256,max,128,2
0,0,0_0,COMPLETED,Sobol,718347.125,0.0001865322718407359,256,mean,128,2
