,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
9,9,9_0,COMPLETED,BO_MIXED,62.04071286059653,1.1648505835972036,0.029731795209120525,256,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,62.909672531361,2.6159032725461477,0.019339451780017346,128,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,63.175569810375016,3.225279421767209,0.1,512,sum,128,2
5,5,5_0,COMPLETED,Sobol,63.27969160446239,3.2571941810419904,0.013215494743445832,128,mean,128,2
13,13,13_0,COMPLETED,BO_MIXED,63.807818236049926,3.571519943270332,0.08012617594510671,512,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,63.821615832517544,3.5123871903183774,0.04174531067566239,256,max,128,2
12,12,12_0,COMPLETED,BO_MIXED,64.03432356381076,3.883805491705892,0.05943967391482477,512,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,64.27736249952935,2.3572718885287025,0.018574989235248047,128,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,65.96954474981801,2.7836827024204664,0.1,256,sum,128,2
1,1,1_0,COMPLETED,Sobol,66.85909006833842,2.2495092118613553,0.042124781905866535,128,sum,128,2
4,4,4_0,COMPLETED,Sobol,107.84925061106091,10.311383697457778,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,109.5716679766432,10.342264748440105,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,109.60619458681614,10.341830851166787,0.0007632231810882134,256,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,109.64873520785484,10.339825815659594,0.0001,128,sum,128,2
0,0,0_0,COMPLETED,Sobol,109.67093049907753,10.339081636518523,0.0001865322718407359,256,mean,128,2
