,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
28,28,28_0,COMPLETED,BO_MIXED,2.7753774013929604,0.7560739396701749,0.003921167474623131,512,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,2.7754180295008943,0.6986389043919339,0.004025815745627634,512,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,2.778424215208905,0.8106039763411041,0.003869397823335608,512,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,2.7792033773706932,0.8077294858603956,0.0038068889600619484,512,sum,128,2
26,26,26_0,COMPLETED,BO_MIXED,2.784052944999757,0.8249868130110797,0.003756680759014756,512,sum,128,2
17,17,17_0,COMPLETED,BO_MIXED,2.794253649818419,0.8463734235484051,0.0037027730422214684,512,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,2.8357748700732217,0.9125385014481284,0.0036266963504479745,512,sum,128,2
4,4,4_0,COMPLETED,Sobol,3.040603107207893,1.0304249538928865,0.0028437033255790875,512,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,3.0824899224987523,0.2852628290308327,0.0048389273631747835,512,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,3.3779941240565745,1.0667126195521923,0.001910581657757728,512,sum,128,2
19,19,19_0,COMPLETED,BO_MIXED,3.459720653365577,1.06230648827082,0.0036274967785693327,512,max,128,2
2,2,2_0,COMPLETED,Sobol,3.5782491776429786,1.0511902215191604,0.0034984596226199345,512,mean,128,2
16,16,16_0,COMPLETED,BO_MIXED,3.6030677609624497,1.0483800030447155,0.0008949842571312236,512,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,3.620834425983103,1.0466222643887195,0.0014013593172518045,512,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,3.633508742064482,1.0453981606339273,0.00048386259712368193,512,sum,128,2
3,3,3_0,COMPLETED,Sobol,3.636888307261345,1.0449647938580806,0.0007632231810882134,256,max,128,2
8,8,8_0,COMPLETED,BO_MIXED,3.6370083682461463,1.0450863770310785,0.0001854800256709994,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,3.641823782448125,1.0445186021028987,0.00034839867468934956,128,mean,128,2
24,24,24_0,COMPLETED,BO_MIXED,3.641917642037973,1.0444770034708126,0.0003341448492179812,256,max,128,2
23,23,23_0,COMPLETED,BO_MIXED,3.6423495289152608,1.0444524660633585,0.0006671717515555467,512,mean,128,2
20,20,20_0,COMPLETED,BO_MIXED,3.6424981910094743,1.0444191766408144,0.0002385036000685696,512,max,128,2
14,14,14_0,COMPLETED,BO_MIXED,3.642753129266639,1.0444261863490982,0.0001,512,sum,128,2
22,22,22_0,COMPLETED,BO_MIXED,3.6430761577972532,1.044363728332724,0.0001,256,max,128,2
15,15,15_0,COMPLETED,BO_MIXED,3.6432211407263604,1.044351932403304,0.0001,128,mean,128,2
0,0,0_0,COMPLETED,Sobol,3.64324799890237,1.0443487953515043,0.0001865322718407359,256,mean,128,2
27,27,27_0,COMPLETED,BO_MIXED,3.6432770613287313,1.044345629474925,0.00015352049202781905,512,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,5.944781531771525,1.3138899308072745,0.0027691443372084004,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,9.985147952792332,2.501866801310414,0.013215494743445832,128,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,10.323045452064619,2.421542625300207,0.010824828561721657,512,sum,128,2
1,1,1_0,COMPLETED,Sobol,13.02362133805306,2.9172406818554366,0.042124781905866535,128,sum,128,2
