trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
1,5.121457248263889,42,4.4685648148148145,38,4.025891203703703,35,4.296328125,29,3.679284939236111,28,3.7905183015046298,24,3.620315031828704,22,3.3283275462962965,19,3.5858174189814815,15,3.6817820457175925,13,2.422112811053241,12,1.8837290219907408,11,1.8044731987847222,10,1.6012015335648149,9,1.7231043836805555,7,1.7061391420717593,6,1.6691946976273149,5,1.4564863642939814,4,1.713777488425926,3,2.028360640914352,2
2,6.936560329861111,42,10.534652777777778,38,12.324930555555556,35,12.770183738425926,29,13.750024594907407,28,13.901100983796296,24,14.275596064814815,22,14.606254340277777,19,14.514907407407408,15,14.53247974537037,13,15.802686631944445,12,16.340966435185184,11,16.53074363425926,10,16.659072627314814,9,16.582734375,7,16.7165625,6,16.86935763888889,5,17.387200520833332,4,16.987741608796295,3,16.907546296296296,2
3,5.0829441550925925,42,4.404605396412037,38,3.9612160011574074,35,4.226504267939815,29,3.6078410734953703,28,3.7239948640046294,24,3.547723162615741,22,3.257258391203704,19,3.5224670862268517,15,3.6084866898148147,13,2.348492657696759,12,1.8099913194444444,11,1.7383362268518519,10,1.5393019386574074,9,1.6490304904513888,7,1.631678783275463,6,1.5947587528935185,5,1.3815821216724538,4,1.6387454788773148,3,1.9531309678819444,2
4,5.117232711226852,42,4.462594762731482,38,4.019382957175926,35,4.2896506076388885,29,3.6725169994212963,28,3.783689236111111,24,3.6134458188657406,22,3.321441333912037,19,3.57974609375,15,3.674845920138889,13,2.4151604094328705,12,1.8767673972800927,11,1.7974925853587962,10,1.5942127821180556,9,1.7161192491319444,7,1.6991333912037037,6,1.662186595775463,5,1.449486038773148,4,1.7067503978587963,3,2.0213393373842594,2
5,4.603349247685185,42,3.8265577980324075,38,3.4089131221064815,35,3.6007295283564815,29,3.050150824652778,28,3.1933991608796295,24,2.998013237847222,22,2.710706561053241,19,2.947088939525463,15,3.030898799189815,13,1.793211986400463,12,1.301429126880787,11,1.2264425998263888,10,1.201408962673611,9,1.2626183629918981,7,1.1534729456018518,6,1.0682340494791667,5,1.0971374963831018,4,1.1370040328414353,3,1.0768253580729166,2
6,4.268076171875,42,8.613982928240741,38,9.904398148148148,35,9.975694444444445,29,10.658113425925926,28,10.606143663194445,24,10.849954427083333,22,11.091487268518518,19,10.955322627314814,15,10.930377604166667,13,12.155504918981482,12,12.660397858796296,11,12.821258680555555,10,12.960801504629629,9,12.857209201388889,7,12.974810474537037,6,13.135405092592592,5,13.6233984375,4,13.174593460648149,3,13.064600694444444,2
7,5.114469401041666,42,4.459904875578704,38,4.016469184027778,35,4.286393952546296,29,3.66908203125,28,3.7801001880787037,24,3.6097551359953703,22,3.317664207175926,19,3.576414568865741,15,3.67094654224537,13,2.411208586516204,12,1.8727927879050925,11,1.7934684244791668,10,1.5901765046296297,9,1.7120789930555556,7,1.6950419560185186,6,1.6580879267939814,5,1.4453783275462964,4,1.7026171875,3,2.0172050419560184,2
8,5.106984592013889,42,4.447627314814815,38,4.002948857060185,35,4.272728949652778,29,3.655333839699074,28,3.7663190827546296,24,3.5959501591435186,22,3.3038917824074074,19,3.5644636140046297,15,3.6571578414351853,13,2.397427662037037,12,1.8589914279513888,11,1.7796572989004629,10,1.5774831814236112,9,1.6982640697337963,7,1.6812160011574073,6,1.6442503978587963,5,1.431536277488426,4,1.688742042824074,3,2.0032859519675927,2
9,5.117185329861111,42,4.4630747251157405,38,4.019872685185185,35,4.289929470486111,29,3.6727076099537035,28,3.783796657986111,24,3.613503689236111,22,3.321459056712963,19,3.57972728587963,15,3.6747862413194445,13,2.415061306423611,12,1.8766514756944443,11,1.7973415798611112,10,1.5940621383101852,9,1.7159711371527777,7,1.6989581524884259,6,1.6620057508680555,5,1.4493191189236112,4,1.706576786747685,3,2.021173502604167,2
10,3.9475907841435185,42,3.2921242042824073,38,2.989528175636574,35,3.058367693865741,29,2.5897813585069445,28,2.783679108796296,24,2.749756401909722,22,2.479849898726852,19,2.830648871527778,15,2.9460801866319444,13,1.9646610966435185,12,1.8819200303819446,11,1.7364992042824074,10,1.6138740596064816,9,1.509395797164352,7,1.4181688548900464,6,1.4455767144097222,5,1.6258199508101852,4,1.3168992332175926,3,1.0738209816261575,2
