,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
10,10,10_0,COMPLETED,BO_MIXED,6.654755412848938,0.7445266221587916,0.004929750755324542,512,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,6.657242070355395,0.7506057658062385,0.003730717748115157,512,sum,128,2
4,4,4_0,COMPLETED,Sobol,6.684579871152634,0.763583475934248,0.0028437033255790875,512,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,6.740372565622816,0.74647421464252,0.0035613412281744754,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,6.779886188889045,0.8307244354977347,0.0034984596226199345,512,mean,128,2
1,1,1_0,COMPLETED,Sobol,6.799605752622885,0.7950278932209649,0.042124781905866535,128,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,6.89297157092708,0.846576104956332,0.028553705198776362,512,sum,128,2
5,5,5_0,COMPLETED,Sobol,6.95204877107355,0.849723237890505,0.013215494743445832,128,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,7.033884747491765,0.9588874236427116,0.0044851572730331205,128,max,128,2
13,13,13_0,COMPLETED,BO_MIXED,7.182492074372005,1.021848987698113,0.02814899110105687,128,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,7.483994484610537,1.1938938296371482,0.1,512,sum,128,2
3,3,3_0,COMPLETED,Sobol,9.343635474147074,1.2689003066550322,0.0007632231810882134,256,max,128,2
0,0,0_0,COMPLETED,Sobol,13.627633064883447,1.9810358255289924,0.0001865322718407359,256,mean,128,2
11,11,11_0,COMPLETED,BO_MIXED,13.646020322522025,1.982352526763414,0.0001,512,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,13.66278718307783,1.9830563822850689,0.0001,512,max,128,2
