,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
27,27,27_0,COMPLETED,BO_MIXED,52.45590468404233,28.95490585347571,0.1,512,mean,128,2
28,28,28_0,COMPLETED,BO_MIXED,52.46997500068975,28.969715145058732,0.0615313442306372,512,mean,128,2
26,26,26_0,COMPLETED,BO_MIXED,52.481499762293744,28.98565037318859,0.006869420018238238,256,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,52.4944669584574,28.980252801316894,0.00348287410302574,256,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,52.494976750380474,28.97860895793377,0.005403075898902128,256,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,52.49996564986658,28.982801492967475,0.002124648256207794,128,sum,128,2
22,22,22_0,COMPLETED,BO_MIXED,52.504436500074306,29.003517665815387,0.007809201603963613,512,max,128,2
14,14,14_0,COMPLETED,BO_MIXED,52.50512208954657,28.989814594825546,0.00854332249461005,256,sum,128,2
4,4,4_0,COMPLETED,Sobol,52.50563802710928,28.983728558437065,0.0028437033255790875,512,sum,128,2
6,6,6_0,COMPLETED,BO_MIXED,52.50718382619177,28.985401065081657,0.008620979857609803,512,sum,128,2
19,19,19_0,COMPLETED,BO_MIXED,52.5137214270327,28.996946073869488,0.011982732980757737,128,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,52.51706981089099,29.013069803274426,0.013794011204432152,512,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,52.523793146458964,28.99748228369401,0.00503869914095685,512,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,52.52431786856712,29.00298469507643,0.0011123746097648414,256,sum,128,2
15,15,15_0,COMPLETED,BO_MIXED,52.524335122844874,29.00263672535444,0.0020399647336055444,256,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,52.5252257857301,29.018279397443273,0.012821619571236424,128,max,128,2
5,5,5_0,COMPLETED,Sobol,52.52571932606538,29.019001279296965,0.013215494743445832,128,mean,128,2
29,29,29_0,COMPLETED,BO_MIXED,52.53911856770979,29.026993671021696,0.05328995305029457,512,max,128,2
21,21,21_0,COMPLETED,BO_MIXED,52.54682192041515,29.015254853655904,0.00329830423175272,128,sum,128,2
24,24,24_0,COMPLETED,BO_MIXED,52.55161583002377,29.016230102196037,0.014309296162042134,512,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,52.56639481057454,29.042870128393798,0.08646126164001347,128,mean,128,2
13,13,13_0,COMPLETED,BO_MIXED,52.61486142941764,29.058845464630565,0.028588725243866554,128,mean,128,2
17,17,17_0,COMPLETED,BO_MIXED,52.63112622222235,29.060928334817575,0.1,128,max,128,2
23,23,23_0,COMPLETED,BO_MIXED,52.653106867190516,29.055003408427332,0.0017098696509572323,512,sum,128,2
1,1,1_0,COMPLETED,Sobol,52.726848513898446,29.082668617116248,0.042124781905866535,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,52.848714016143866,29.119891718094273,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,52.876155159995854,29.126748340650387,0.0007632231810882134,256,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,52.916323302289044,29.137308725404893,0.0001,256,sum,128,2
0,0,0_0,COMPLETED,Sobol,52.918263472831576,29.137872046582917,0.0001865322718407359,256,mean,128,2
7,7,7_0,COMPLETED,BO_MIXED,52.91840377107179,29.137905499600873,0.0001,128,mean,128,2
