trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
1,0.00028590211161860714,115,1.1666222692418982,115,2.8898211443865742,115,8.4718359375,115,15.728872974537037,115,45.05426215277778,115,57.95821759259259,115,60.53258680555555,115,65.62709490740741,114,67.49684606481482,114,68.65861689814815,114,70.0746412037037,114,73.39885416666667,109,74.11321180555555,109,74.79076388888889,108,74.89269097222223,108,76.09345486111111,106,76.6311863425926,106,78.6588888888889,104,81.33081018518519,100
2,0.20311179832175927,115,1.0045870406539352,115,2.7168375651041665,115,8.28734592013889,115,15.533391203703705,115,44.842769097222224,115,57.740405092592596,115,60.310769675925926,115,65.40445023148148,114,67.27408564814814,114,68.43501157407407,114,69.8506886574074,114,73.17458333333333,109,73.88886574074074,109,74.56629050925926,108,74.66831018518519,108,75.86965856481481,106,76.40734375,106,78.43478587962963,104,81.10699074074074,100
3,0.055441001609519674,115,1.1048368778935185,115,2.827437427662037,115,8.407004484953704,115,15.660182291666667,115,44.97908854166667,115,57.88049768518518,115,60.45299189814815,115,65.54722800925926,114,67.41683449074074,114,68.57818865740741,114,69.99401041666667,114,73.3180787037037,109,74.03262731481482,109,74.71031828703704,108,74.81245949074074,108,76.01346643518518,106,76.55125,106,78.57888888888888,104,81.25092013888889,100
4,0.035416793823242185,115,1.1300900607638888,115,2.851952763310185,115,8.432216435185186,115,15.686866319444444,115,45.008596643518516,115,57.91101851851852,115,60.484282407407406,115,65.57869791666667,114,67.44843171296296,114,68.6100173611111,114,70.02583333333334,114,73.34983796296297,109,74.0642650462963,109,74.74188078703703,108,74.8439525462963,108,76.0448263888889,106,76.58255208333334,106,78.61023726851852,104,81.28217013888889,100
5,0.4635078034577546,115,0.8898838975694444,115,2.588466977719907,115,8.137614293981482,115,15.358550347222222,115,44.62022280092592,115,57.486475694444444,115,60.045520833333335,115,65.13251736111111,114,66.99666087962963,114,68.15432291666667,114,69.5679224537037,114,72.88693287037037,109,73.60151041666667,109,74.27803240740741,108,74.38058449074074,108,75.58238425925926,106,76.11928819444445,106,78.1455787037037,104,80.81721643518519,100
6,0.3270619710286458,115,0.8733070203993055,115,2.5726819299768517,115,8.127262008101852,115,15.357993344907408,115,44.63462673611111,115,57.513385416666665,115,60.07559027777778,115,65.1677199074074,114,67.03405671296296,114,68.19435763888889,114,69.6083275462963,114,72.93028356481481,109,73.64572916666667,109,74.32419560185186,108,74.42739583333334,108,75.62956597222222,106,76.16704282407407,106,78.19457175925926,104,80.86689814814815,100
7,0.46024793836805555,115,0.8887177191840278,115,2.587806351273148,115,8.137255497685185,115,15.358870081018518,115,44.62104166666666,115,57.48803240740741,115,60.04713541666667,115,65.13460648148148,114,66.9987673611111,114,68.1563425925926,114,69.56983217592592,114,72.8893923611111,109,73.60401620370371,109,74.28107638888889,108,74.38385416666667,108,75.58587962962963,106,76.12256365740741,106,78.14895833333334,104,80.82074652777777,100
8,0.00019734479762889722,115,1.1667473234953705,115,2.889949363425926,115,8.471966869212963,115,15.729008969907408,115,45.054409722222225,115,57.95836805555555,115,60.53275462962963,115,65.62725115740741,114,67.49701388888889,114,68.65877893518518,114,70.07480324074074,114,73.39901041666667,109,74.11336226851851,109,74.79092592592593,108,74.89285300925926,108,76.09361111111112,106,76.63134837962963,106,78.65904513888889,104,81.33097800925925,100
9,0.2771746826171875,115,0.8784633608217592,115,2.585044307002315,115,8.145336371527778,115,15.382608506944445,115,44.67166377314815,115,57.560457175925926,115,60.12712962962963,115,65.22081597222223,114,67.08954282407407,114,68.25009837962963,114,69.66524305555555,114,72.98802083333334,109,73.70335648148148,109,74.3814699074074,108,74.48441550925926,108,75.6861400462963,106,76.22403935185186,106,78.25151041666666,104,80.92347222222222,100
10,0.43741880063657407,115,0.8769069191261574,115,2.577450629340278,115,8.129150028935186,115,15.358097511574075,115,44.630234375,115,57.50523726851852,115,60.067702546296296,115,65.15855324074074,114,67.02520833333334,114,68.18436921296296,114,69.59859375,114,72.91934606481482,109,73.63468171296296,109,74.31238425925926,108,74.41513310185185,108,75.6171701388889,106,76.15460069444444,106,78.18153935185185,104,80.8532349537037,100
11,0.002062800018875687,115,1.1650651041666666,115,2.888131691261574,115,8.470047743055556,115,15.726961805555556,115,45.05216145833333,115,57.95603587962963,115,60.53035300925926,115,65.62484953703704,114,67.49458912037036,114,68.65635416666667,114,70.07234953703704,114,73.39655671296296,109,74.11091435185185,109,74.78847222222223,108,74.89040509259259,108,76.09117476851851,106,76.62891203703704,106,78.6566087962963,104,81.32853587962963,100
