,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
15,15,15_0,COMPLETED,BO_MIXED,0.17899925171382844,0.16554936703018022,0.07105302950048399,128,sum,128,2
1,1,1_0,COMPLETED,Sobol,0.19343136136493985,0.19633764758689864,0.042124781905866535,128,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,0.19845536650803988,0.12226084824715812,0.0011307295951923152,256,max,128,2
26,26,26_0,COMPLETED,BO_MIXED,0.20095709583746696,0.1375518897815043,0.000870668330641547,512,sum,128,2
17,17,17_0,COMPLETED,BO_MIXED,0.2010964897196129,0.16620973131353142,0.1,128,sum,128,2
3,3,3_0,COMPLETED,Sobol,0.20166480654761904,0.13671652237002818,0.0007632231810882134,256,max,128,2
28,28,28_0,COMPLETED,BO_MIXED,0.20224313725870122,0.12817411720261057,0.0012605206203416058,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,0.20300399538070435,0.15195214573619492,0.0034984596226199345,512,mean,128,2
22,22,22_0,COMPLETED,BO_MIXED,0.20501464863933583,0.14546585654341557,0.061722618595021754,128,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,0.2072558347510282,0.15949348680235464,0.0057947227375388715,512,mean,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.20869194172046804,0.14599507613120563,0.03391481820818121,256,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,0.2120951758490668,0.13549294670562756,0.01643701858992542,256,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,0.2156024737080569,0.13739189279837907,0.07958463988054783,256,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,0.21787192773566674,0.16314105714927654,0.03270805437614384,128,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,0.22608890250877098,0.14114164276477129,0.05047650677082026,256,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,0.22750048117662863,0.1170705184257936,0.0010382252709774976,128,max,128,2
23,23,23_0,COMPLETED,BO_MIXED,0.25908511368685927,0.12886598146880587,0.015121356106223015,512,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,0.2603720900116774,0.11420578897555254,0.001073981780763734,256,sum,128,2
4,4,4_0,COMPLETED,Sobol,0.26156969181444284,0.11794846370242092,0.0028437033255790875,512,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,0.2785006697720321,0.12505654371798555,0.0027933953949107267,256,mean,128,2
24,24,24_0,COMPLETED,BO_MIXED,0.29348806149114376,0.14697631254428664,0.00546035560727679,256,sum,128,2
19,19,19_0,COMPLETED,BO_MIXED,0.30075501134155924,0.23507487327945434,0.0009393573969255736,512,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.3124231150793651,0.24797105403445444,0.00041730247909455313,256,max,128,2
27,27,27_0,COMPLETED,BO_MIXED,0.31481974122385503,0.2535286385969884,0.0004709343888650465,512,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,0.3227935068443339,0.2619188867169113,0.0008363909057993487,512,mean,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.3234692877310294,0.30945587995790624,0.014042860998064552,256,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,0.32384246220664376,0.3242457253176343,0.07008094713541747,128,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,0.32389939081101193,0.2618662613760107,0.0001,128,sum,128,2
0,0,0_0,COMPLETED,Sobol,0.3297005725033069,0.26977948685308406,0.0001865322718407359,256,mean,128,2
5,5,5_0,COMPLETED,Sobol,0.3882325242057679,0.20689941319216434,0.013215494743445832,128,mean,128,2
