,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
28,28,28_0,COMPLETED,BO_MIXED,5.525901792772373,0.7308479499001258,0.0026527772619733547,128,sum,128,2
27,27,27_0,COMPLETED,BO_MIXED,5.525902329053094,0.7308531813742548,0.001858253361638999,128,sum,128,2
25,25,25_0,COMPLETED,BO_MIXED,5.5259450720336005,0.730796120308101,0.0016307684745945526,128,sum,128,2
23,23,23_0,COMPLETED,BO_MIXED,5.525946832014156,0.7307955591337567,0.001369409693561033,256,sum,128,2
13,13,13_0,COMPLETED,BO_MIXED,5.525950129437007,0.7307959105436095,0.0008764275770147732,512,sum,128,2
26,26,26_0,COMPLETED,BO_MIXED,5.525950360053351,0.7307969865951921,0.0017965234939072274,256,sum,128,2
22,22,22_0,COMPLETED,BO_MIXED,5.525950753534346,0.7307966946375863,0.001396010359610519,512,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,5.525952629735114,0.7307952702735058,0.0012427336832675365,512,sum,128,2
15,15,15_0,COMPLETED,BO_MIXED,5.525953352332993,0.7307952745860269,0.0009613417281678532,512,sum,128,2
16,16,16_0,COMPLETED,BO_MIXED,5.525953380215421,0.7307916067256921,0.0011370704907531185,512,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,5.525953431550359,0.7307934261345035,0.0020272179942133917,512,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,5.525953551939908,0.7307958064924794,0.0015897722145480897,512,sum,128,2
20,20,20_0,COMPLETED,BO_MIXED,5.5259536105711815,0.7308001656903262,0.0010569440609091388,512,sum,128,2
24,24,24_0,COMPLETED,BO_MIXED,5.525954018123683,0.7307972304155819,0.0011557587064595267,256,sum,128,2
4,4,4_0,COMPLETED,Sobol,5.525954536163561,0.7307955550803468,0.0028437033255790875,512,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,5.525954600788253,0.7307980020508665,0.0024761299509631104,512,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,5.52595607152119,0.730795286530536,0.0006245012143258462,512,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,5.525956630212086,0.7307924529217313,0.0026650097511400693,512,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,5.5259570677316825,0.7307930898352168,0.0006220232940893402,512,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,5.525957530788455,0.7307928817699656,0.0001,512,sum,128,2
1,1,1_0,COMPLETED,Sobol,5.525957715802697,0.730790457559885,0.042124781905866535,128,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,5.5259577251837015,0.7307941608679963,0.0008177651189365786,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,5.525958500940603,0.7307924637193915,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,5.525958758136458,0.7307926890348554,0.0007632231810882134,256,max,128,2
17,17,17_0,COMPLETED,BO_MIXED,5.52595917116121,0.7307915851630415,0.0011918658534017306,512,mean,128,2
5,5,5_0,COMPLETED,Sobol,5.525959171942961,0.7307915808505122,0.013215494743445832,128,mean,128,2
7,7,7_0,COMPLETED,BO_MIXED,5.525959242300488,0.73079166042928,0.005917050860408559,512,sum,128,2
0,0,0_0,COMPLETED,Sobol,5.52595924464574,0.730791647491696,0.0001865322718407359,256,mean,128,2
19,19,19_0,COMPLETED,BO_MIXED,5.525960050109153,0.7307914324584348,0.0019001620669894775,512,max,128,2
29,29,29_0,COMPLETED,BO_MIXED,5.525967956992476,0.730791943057456,0.002185929582075499,128,sum,128,2
