,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
25,25,25_0,COMPLETED,BO_MIXED,0.9627332956049688,0.19397713120482996,0.00012065954330953214,256,sum,128,2
24,24,24_0,COMPLETED,BO_MIXED,0.9637387762989281,0.23332166306906388,0.00010654448635194707,256,sum,128,2
23,23,23_0,COMPLETED,BO_MIXED,0.9638988127051622,0.2261895194011733,0.00032286084221841996,256,mean,128,2
18,18,18_0,COMPLETED,BO_MIXED,0.9642844487075055,0.1979217665770433,0.00035826425777487427,256,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,0.9683605661225455,0.19478727696858641,0.0002753756192049307,256,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,0.9692533504344298,0.23845240904822707,0.00023383107327352675,256,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.9695453986569599,0.2601985903998797,0.00027258656783507254,256,mean,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.9799242662189068,0.2893497079869554,0.00023083822613394124,256,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,0.9839506673452398,0.14716741709083836,0.0003325573229367474,256,max,128,2
22,22,22_0,COMPLETED,BO_MIXED,0.9877959641278359,0.1449017651438673,0.0001609960387856835,256,sum,128,2
1,1,1_0,COMPLETED,Sobol,0.9889695965632155,0.14530230492950338,0.042124781905866535,128,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.9965720512938521,0.15153715027948805,0.037067912268691335,128,sum,128,2
27,27,27_0,COMPLETED,BO_MIXED,1.0001554764870504,0.14654787271391514,0.00011333021745001232,128,sum,128,2
0,0,0_0,COMPLETED,Sobol,1.0017196517814981,0.3192567512080532,0.0001865322718407359,256,mean,128,2
19,19,19_0,COMPLETED,BO_MIXED,1.0048776607251189,0.14716875256988848,0.00048498897716829203,256,mean,128,2
20,20,20_0,COMPLETED,BO_MIXED,1.0060464882771394,0.147641686448276,0.00034608372568098385,128,mean,128,2
13,13,13_0,COMPLETED,BO_MIXED,1.0076571109261236,0.14831814934388407,0.00027733527855780586,256,sum,128,2
28,28,28_0,COMPLETED,BO_MIXED,1.0102867254789418,0.14778372097319312,0.0005288261498962449,256,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,1.017760707430319,0.14905137346766953,0.0009961227195231213,256,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,1.020286162021822,0.3381642472615971,0.0001,256,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,1.0238040943485522,0.1617418587573698,0.041098966379856244,256,sum,128,2
15,15,15_0,COMPLETED,BO_MIXED,1.025028909006052,0.15393368218496284,0.0002704969856225303,128,max,128,2
3,3,3_0,COMPLETED,Sobol,1.0293885389096542,0.15467741815774183,0.0007632231810882134,256,max,128,2
26,26,26_0,COMPLETED,BO_MIXED,1.0325869130006233,0.35068550264055626,0.0001,256,mean,128,2
6,6,6_0,COMPLETED,BO_MIXED,1.0350477888430274,0.15530659543315053,0.014526590616878126,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,1.0442195264822123,0.15146330758288262,0.0034984596226199345,512,mean,128,2
17,17,17_0,COMPLETED,BO_MIXED,1.0686218408821306,0.17368975542175416,0.04176040438133179,128,max,128,2
4,4,4_0,COMPLETED,Sobol,1.071074985724169,0.15159778476804336,0.0028437033255790875,512,sum,128,2
5,5,5_0,COMPLETED,Sobol,1.0713002289607299,0.1540248247606052,0.013215494743445832,128,mean,128,2
7,7,7_0,COMPLETED,BO_MIXED,1.1020303677848229,0.17796445785279635,0.06906931124910676,128,sum,128,2
