trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
1,1.1832893880208333,1025,1.1625864438657407,1025,1.1590980360243055,1025,1.15802001953125,1025,1.160544704861111,1025,1.1105980541087963,1025,1.1115149377893518,1025,1.080008228443287,1025,0.6739629900896991,1025,0.32276274504484953,1006,0.5893806514033565,491,1.7915619574652777,148,0.8500028030960648,148,0.8497173394097223,148,3.1188776765046295,38,0.21650711624710647,38,0.21777847855179397,38,1.0377180989583332,6,0.0637925042046441,6,0.06516882437246817,6
2,0.9767857530381945,1025,0.9582628942418981,1025,0.9496912977430556,1025,0.9479053638599537,1025,0.9502668366608796,1025,0.9597835286458334,1025,0.960232837818287,1025,0.9409695095486111,1025,0.9929111508969908,1025,0.9246490704571759,1006,1.1055771665219907,491,1.841911892361111,148,1.3320237449363426,148,1.3292161277488426,148,2.395729709201389,38,0.9502028175636574,38,0.9575932255497686,38,0.8666526511863426,6,1.0341707356770833,6,1.0347277379918982,6
3,0.9735250289351852,1025,0.9712337239583333,1025,0.9927529116030093,1025,1.0010758463541667,1025,0.9825670030381944,1025,0.9962137405960648,1025,0.9873995406539352,1025,0.9597653537326389,1025,1.1294173177083333,1025,1.1138916015625,1006,1.2441205512152778,491,1.8535892288773148,148,1.3368372938368056,148,1.3318052842881944,148,2.4177265986689815,38,0.9149134657118055,38,0.9203812210648148,38,0.8169907407407407,6,0.9624419487847222,6,0.9621879521122685,6
4,0.975703125,1025,0.94895263671875,1025,0.9645728443287037,1025,0.970416576244213,1025,0.9624029767071759,1025,0.9787514467592593,1025,0.9746904839409722,1025,0.9512681749131945,1025,1.1174400499131945,1025,1.1022623697916667,1006,1.2376927806712963,491,1.8512633825231481,148,1.3371787290219908,148,1.3334572120949073,148,2.4149399594907406,38,0.9262909613715278,38,0.9331874819155093,38,0.8153418872974537,6,0.9650912362557871,6,0.9656238245081018,6
5,0.950171802662037,1025,0.9916868308738426,1025,1.0280855758101852,1025,1.0465120442708333,1025,1.0166914424189815,1025,1.0326554361979168,1025,1.0170513237847223,1025,0.9846485279224537,1025,1.1636526150173612,1025,1.1516558159722223,1006,1.2709406647858796,491,1.8639561631944443,148,1.3578266059027777,148,1.3518687608506945,148,2.398821072048611,38,0.9422106481481481,38,0.9464898907696759,38,0.8227301251446759,6,0.9764818431712963,6,0.9752605070891204,6
6,0.9652697301793981,1025,0.9911804651331019,1025,1.0191071686921296,1025,1.029895923755787,1025,1.007586986400463,1025,1.024740577980324,1025,1.0136865234375,1025,0.9857296187789352,1025,1.168599537037037,1025,1.1630228226273147,1006,1.2878724500868055,491,1.8710807291666667,148,1.373868724681713,148,1.3682420066550927,148,2.3765644892939815,38,0.9792682110821759,38,0.98467529296875,38,0.8647979962384259,6,1.032048972800926,6,1.0315813078703704,6
7,0.9439664713541667,1025,0.9495747432002315,1025,0.979239185474537,1025,0.9959777379918981,1025,0.9753892686631944,1025,0.9931963433159722,1025,0.9820495153356481,1025,0.9563772243923611,1025,1.1136705186631946,1025,1.0914109519675925,1006,1.2367557327835648,491,1.8773860677083334,148,1.3976438621238425,148,1.3926738823784721,148,2.3328119574652777,38,1.029053367332176,38,1.0347641782407409,38,0.9292131438078703,6,1.1352669270833333,6,1.13457275390625,6
8,0.9384388563368056,1025,0.9778161168981482,1025,1.0290577980324074,1025,1.056044560185185,1025,1.0299157262731482,1025,1.0556197554976852,1025,1.0431807002314815,1025,1.0227816659432871,1025,1.2040183738425927,1025,1.197705982349537,1006,1.3524428530092591,491,1.932432544849537,148,1.6231315104166666,148,1.6180367476851851,148,2.104811378761574,38,1.5321753833912037,38,1.538827220775463,38,1.3996004231770833,6,1.6859284577546296,6,1.6858367693865741,6
9,0.971038501880787,1025,0.9517802372685186,1025,0.9450669126157407,1025,0.9455258969907407,1025,0.9455037434895833,1025,0.9594615342881945,1025,0.9590944191261574,1025,0.9391850224247685,1025,1.0242594401041667,1025,0.9693053747106481,1006,1.1410956488715278,491,1.8781696686921296,148,1.3754524739583334,148,1.3719875759548612,148,2.385726634837963,38,0.9645864076967593,38,0.9717686631944444,38,0.8944242802372685,6,1.0612949399594906,6,1.0616009295428241,6
10,0.9513771339699074,1025,0.9427393482349538,1025,0.9542910879629629,1025,0.9666351996527778,1025,0.956536277488426,1025,0.9781345847800926,1025,0.9733161530671296,1025,0.953019115306713,1025,1.0873705150462962,1025,1.059462257667824,1006,1.2299428530092593,491,1.9153522858796297,148,1.4725653754340278,148,1.4676493778935185,148,2.2248222294560187,38,1.1646384910300926,38,1.1712504521122684,38,1.0861582212094907,6,1.3554664894386574,6,1.3553483977141203,6
