,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,remaining_time_std,lr,batch_size,aggregation,hid,layers
6,6,6_0,COMPLETED,BO_MIXED,0.00831380223641366,0.008344920768231031,0.00012847757930313877,256,mean,128,2
29,29,29_0,COMPLETED,BO_MIXED,0.00831398030823068,0.008388270313104459,0.00011402030090805544,256,mean,128,2
28,28,28_0,COMPLETED,BO_MIXED,0.008314649185678213,0.008406672431997544,0.00024099001413400433,512,mean,128,2
23,23,23_0,COMPLETED,BO_MIXED,0.008314683211164518,0.008333183300073148,0.0002900909752697348,512,mean,128,2
18,18,18_0,COMPLETED,BO_MIXED,0.008315809070312022,0.00842353944091778,0.0001,256,mean,128,2
20,20,20_0,COMPLETED,BO_MIXED,0.008316080907843634,0.008431476935315735,0.0002175787141015953,512,mean,128,2
22,22,22_0,COMPLETED,BO_MIXED,0.008321002464906972,0.008473129189595231,0.00017268276077602948,512,mean,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.00832445196387085,0.008492228192176864,0.00014958091157482687,512,mean,128,2
19,19,19_0,COMPLETED,BO_MIXED,0.008326665152828091,0.00850723481458997,0.00012787186021848436,512,mean,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.008329434636770479,0.008522751470154353,0.0001,512,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,0.008330589844061789,0.008292622224766528,0.0001,512,max,128,2
0,0,0_0,COMPLETED,Sobol,0.008330727475037754,0.008085814976346884,0.0001865322718407359,256,mean,128,2
26,26,26_0,COMPLETED,BO_MIXED,0.008336382661680493,0.008257005880773471,0.00010956007886736659,512,max,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.008341760185266105,0.008182511345846867,0.0001302834077845159,512,max,128,2
13,13,13_0,COMPLETED,BO_MIXED,0.008411949405243046,0.007738548486922406,0.0001,256,max,128,2
24,24,24_0,COMPLETED,BO_MIXED,0.008415057675155463,0.00751816625857252,0.00026595453884586126,256,mean,128,2
17,17,17_0,COMPLETED,BO_MIXED,0.00857274990441875,0.007074729674352802,0.00014188572881012143,256,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,0.008662045117787565,0.006685250745713158,0.00015235129244544365,128,mean,128,2
5,5,5_0,COMPLETED,Sobol,0.009430274887322154,0.004701088801450221,0.013215494743445832,128,mean,128,2
25,25,25_0,COMPLETED,BO_MIXED,0.009566091874531606,0.004502247094432411,0.0063424454949919115,128,max,128,2
16,16,16_0,COMPLETED,BO_MIXED,0.009686174887713627,0.004509719069154886,0.015855220607559013,512,max,128,2
27,27,27_0,COMPLETED,BO_MIXED,0.010227774915001656,0.006096682526427949,0.010721324217112476,128,sum,128,2
2,2,2_0,COMPLETED,Sobol,0.010650442054145582,0.004757300282751397,0.0034984596226199345,512,mean,128,2
15,15,15_0,COMPLETED,BO_MIXED,0.010682519887969052,0.004752635543984362,0.1,512,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,0.010706506893099177,0.004508823693228103,0.00014863138914750996,256,sum,128,2
21,21,21_0,COMPLETED,BO_MIXED,0.010760858613885909,0.005918499342065406,0.1,128,max,128,2
1,1,1_0,COMPLETED,Sobol,0.010793161155447678,0.005096830127751475,0.042124781905866535,128,sum,128,2
4,4,4_0,COMPLETED,Sobol,0.011002538251674873,0.004406760188491712,0.0028437033255790875,512,sum,128,2
7,7,7_0,COMPLETED,BO_MIXED,0.01105816468748196,0.004633866640307105,0.0020174534593761467,256,mean,128,2
3,3,3_0,COMPLETED,Sobol,0.01108496984103848,0.004397670466519517,0.0007632231810882134,256,max,128,2
