,trial_index,arm_name,trial_status,generation_method,remaining_time_mae,lr,batch_size,aggregation,hid,layers
7,7,7_0,COMPLETED,BO_MIXED,328314.28125,0.1,128,max,128,2
1,1,1_0,COMPLETED,Sobol,330127.90625,0.042124781905866535,128,sum,128,2
8,8,8_0,COMPLETED,BO_MIXED,330205.0,0.1,128,mean,128,2
14,14,14_0,COMPLETED,BO_MIXED,332705.78125,0.03130484111561095,128,mean,128,2
12,12,12_0,COMPLETED,BO_MIXED,336756.375,0.01495063994732749,256,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,337982.875,0.027176329381866024,512,sum,128,2
5,5,5_0,COMPLETED,Sobol,338728.71875,0.013215494743445832,128,mean,128,2
13,13,13_0,COMPLETED,BO_MIXED,341731.78125,0.1,512,max,128,2
6,6,6_0,COMPLETED,BO_MIXED,344461.90625,0.005029653181511184,128,sum,128,2
4,4,4_0,COMPLETED,Sobol,370438.8125,0.0028437033255790875,512,sum,128,2
2,2,2_0,COMPLETED,Sobol,634240.5,0.0034984596226199345,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,641460.8125,0.0007632231810882134,256,max,128,2
9,9,9_0,COMPLETED,BO_MIXED,648506.375,0.0001,128,max,128,2
10,10,10_0,COMPLETED,BO_MIXED,648891.8125,0.0001,512,sum,128,2
0,0,0_0,COMPLETED,Sobol,648929.625,0.0001865322718407359,256,mean,128,2
