,trial_index,arm_name,trial_status,generation_method,test_acc,test_loss,hid,layers,lr,batch_size,aggregation
0,0,0_0,COMPLETED,Sobol,0.18693982074263765,0.7028351838772113,64,4,0.001671979996274695,512,sum
25,25,25_0,COMPLETED,BoTorch,0.18693982074263765,1.0029690173956065,256,3,0.1,256,mean
16,16,16_0,COMPLETED,BoTorch,0.18693982074263765,0.7297771435517532,64,3,0.0037589681037728793,256,sum
10,10,10_0,COMPLETED,BoTorch,0.18693982074263765,1.192694067955017,64,4,0.1,512,sum
9,9,9_0,COMPLETED,Sobol,0.18693982074263765,0.7438775117580707,256,3,0.0005287489039482252,128,sum
8,8,8_0,COMPLETED,Sobol,0.18693982074263765,9.520920460040752,64,5,0.0036773840138216956,256,mean
29,29,29_0,COMPLETED,BoTorch,0.18693982074263765,80.54016817533054,512,2,0.1,512,max
3,3,3_0,COMPLETED,Sobol,0.18693982074263765,0.8364979853996863,128,3,0.012090384867066513,256,mean
2,2,2_0,COMPLETED,Sobol,0.18693982074263765,4.439927834730882,512,5,0.00012948547263677028,512,max
12,12,12_0,COMPLETED,BoTorch,0.19014084507042253,4.730463211353008,128,3,0.0001,128,max
19,19,19_0,COMPLETED,BoTorch,0.1946222791293214,0.9522477250832778,64,2,0.1,128,max
20,20,20_0,COMPLETED,BoTorch,0.23815620998719592,1.1052832053257868,256,2,0.1,128,max
27,27,27_0,COMPLETED,BoTorch,0.3380281690140845,0.794366153386923,64,5,0.1,128,mean
1,1,1_0,COMPLETED,Sobol,0.3758002560819462,0.7777505792104281,256,2,0.027575328715146064,128,max
6,6,6_0,COMPLETED,Sobol,0.49359795134443024,0.8099126082200271,256,4,0.004997965273915626,128,max
11,11,11_0,COMPLETED,BoTorch,0.674775928297055,0.6094056115700648,256,3,0.1,128,max
15,15,15_0,COMPLETED,BoTorch,0.7464788732394366,0.5529314233706548,128,2,0.1,128,max
18,18,18_0,COMPLETED,BoTorch,0.7599231754161332,0.5918419361114502,512,2,0.1,128,max
26,26,26_0,COMPLETED,BoTorch,0.8130601792573624,0.48389793130067676,64,5,0.1,512,mean
24,24,24_0,COMPLETED,BoTorch,0.8130601792573624,0.6432969753558819,64,4,0.1,256,mean
23,23,23_0,COMPLETED,BoTorch,0.8130601792573624,0.6815451246041518,512,4,0.0001,512,sum
22,22,22_0,COMPLETED,BoTorch,0.8130601792573624,0.6763940086731544,64,3,0.0001,512,sum
7,7,7_0,COMPLETED,Sobol,0.8130601792573624,0.6464497538713309,64,2,0.00030100727600525814,512,sum
17,17,17_0,COMPLETED,BoTorch,0.8130601792573624,0.6772025044147785,64,2,0.0011248197076751576,512,sum
28,28,28_0,COMPLETED,BoTorch,0.8130601792573624,0.6878564632855929,64,5,0.00032930892351956307,512,sum
13,13,13_0,COMPLETED,BoTorch,0.8130601792573624,1.0384661830388582,512,3,0.017212644222752888,128,max
4,4,4_0,COMPLETED,Sobol,0.8130601792573624,2.5971571573844323,128,5,0.06674817360628986,128,max
5,5,5_0,COMPLETED,Sobol,0.8130601792573624,0.6689506127284124,512,3,0.0007197019462725423,256,sum
21,21,21_0,COMPLETED,BoTorch,0.8130601792573624,0.6873594797574557,64,3,0.0008163036842436484,512,sum
14,14,14_0,COMPLETED,BoTorch,0.8130601792573624,0.9732063962863042,256,2,0.025965758309849617,256,mean
