,trial_index,arm_name,trial_status,generation_method,test_acc,test_loss,lr,batch_size,aggregation,hid,layers
7,7,7_0,COMPLETED,BO_MIXED,0.14559386973180077,84.91368039449056,0.06098630429807667,128,sum,128,2
14,14,14_0,COMPLETED,BO_MIXED,0.14942528735632185,4638273.0,0.016460297662824305,512,mean,128,2
25,25,25_0,COMPLETED,BO_MIXED,0.14942528735632185,12480978.666666666,0.00022587789803055116,128,max,128,2
28,28,28_0,COMPLETED,BO_MIXED,0.14942528735632185,605373632.0,0.010422171226058858,128,max,128,2
1,1,1_0,COMPLETED,Sobol,0.42528735632183906,3.651335914929708,0.042124781905866535,128,sum,128,2
29,29,29_0,COMPLETED,BO_MIXED,0.6628352490421456,9109.18115234375,0.1,128,max,128,2
8,8,8_0,COMPLETED,BO_MIXED,0.7394636015325671,30.218430519104004,0.08791489988240869,128,sum,128,2
10,10,10_0,COMPLETED,BO_MIXED,0.8314176245210728,111.27669461568196,0.05597982554821521,128,sum,128,2
6,6,6_0,COMPLETED,BO_MIXED,0.8505747126436781,0.481082558631897,0.0035215098203145263,128,sum,128,2
27,27,21_0,COMPLETED,BO_MIXED,0.8505747126436781,9150.111653645834,0.0001,512,mean,128,2
26,26,26_0,COMPLETED,BO_MIXED,0.8505747126436781,2.602768580118815,0.1,256,mean,128,2
2,2,2_0,COMPLETED,Sobol,0.8505747126436781,2822556.0833333335,0.0034984596226199345,512,mean,128,2
24,24,24_0,COMPLETED,BO_MIXED,0.8505747126436781,8.454845905303955,0.1,256,sum,128,2
23,23,23_0,COMPLETED,BO_MIXED,0.8505747126436781,0.5559927125771841,0.07863419709584889,512,mean,128,2
22,22,22_0,COMPLETED,BO_MIXED,0.8505747126436781,167170661.33333334,0.003082225940593845,512,max,128,2
21,21,21_0,COMPLETED,BO_MIXED,0.8505747126436781,514.6949361165365,0.0001,512,mean,128,2
20,20,20_0,COMPLETED,BO_MIXED,0.8505747126436781,2918572800.0,0.1,512,sum,128,2
19,19,19_0,COMPLETED,BO_MIXED,0.8505747126436781,0.6434636116027832,0.011786249156026305,512,mean,128,2
17,17,17_0,COMPLETED,BO_MIXED,0.8505747126436781,143484437.33333334,0.0001,128,sum,128,2
5,5,5_0,COMPLETED,Sobol,0.8505747126436781,203.67115275065103,0.013215494743445832,128,mean,128,2
16,16,16_0,COMPLETED,BO_MIXED,0.8505747126436781,5850822.5,0.0001,512,max,128,2
15,15,15_0,COMPLETED,BO_MIXED,0.8505747126436781,1995386.0833333333,0.023734647177405324,512,mean,128,2
3,3,3_0,COMPLETED,Sobol,0.8505747126436781,17848085.0,0.0007632231810882134,256,max,128,2
13,13,13_0,COMPLETED,BO_MIXED,0.8505747126436781,127537024.0,0.0005097156798423657,512,sum,128,2
12,12,12_0,COMPLETED,BO_MIXED,0.8505747126436781,1261272448.0,0.02278190181563811,128,sum,128,2
11,11,11_0,COMPLETED,BO_MIXED,0.8505747126436781,3864.284901936849,0.046762559603228435,256,sum,128,2
9,9,9_0,COMPLETED,BO_MIXED,0.8505747126436781,2009254016.0,0.055914411209770254,256,max,128,2
4,4,4_0,COMPLETED,Sobol,0.8505747126436781,0.6441497604052225,0.0028437033255790875,512,sum,128,2
18,18,18_0,COMPLETED,BO_MIXED,0.8505747126436781,625015488.0,0.1,512,max,128,2
0,0,0_0,COMPLETED,Sobol,0.8505747126436781,185314.52083333334,0.0001865322718407359,256,mean,128,2
